target_quarter,target_year,spf_filter_cy,spf_filter_ny,origin_quarter,origin_year
1,1992,2.73861301311956,2.73861300896889,1,2001
2,1992,1.87029524680096,1.87029524680096,1,2001
3,1992,1.47929780325962,1.47929780325962,1,2001
4,1992,0.288490794150187,0.288490794150187,1,2001
1,1993,-1.77865273073338,-1.77865273073338,1,2001
2,1993,-1.16517909187389,-1.16517909187389,1,2001
3,1993,-0.542325821430945,-0.542325821430945,1,2001
4,1993,0.0495094021288225,0.0495094021288224,1,2001
1,1994,1.7614703344693,1.7614703344693,1,2001
2,1994,2.20657378328584,2.20657378328584,1,2001
3,1994,2.58619908095206,2.58619908095206,1,2001
4,1994,3.05890008104353,3.05890008104353,1,2001
1,1995,2.65435264180884,2.65435264180884,1,2001
2,1995,2.66067837036021,2.66067837036021,1,2001
3,1995,2.07376257417546,2.07376257417546,1,2001
4,1995,1.46336177290758,1.46336177290758,1,2001
1,1996,1.09992287830816,1.09992287830816,1,2001
2,1996,1.22051639291298,1.22051639291298,1,2001
3,1996,1.68831899989021,1.68831899989021,1,2001
4,1996,1.66922042540583,1.66922042540583,1,2001
1,1997,1.60160919968084,1.60160919968084,1,2001
2,1997,2.18550155722892,2.18550155722892,1,2001
3,1997,2.34207388301215,2.34207388301215,1,2001
4,1997,2.98117678785181,2.98117678785181,1,2001
1,1998,3.67363489888204,3.67363489888204,1,2001
2,1998,2.76940877558838,2.76940877558838,1,2001
3,1998,2.58337530955985,2.58337530955985,1,2001
4,1998,2.00643971007164,2.00643971007164,1,2001
1,1999,1.9154554207754,1.9154554207754,1,2001
2,1999,2.15726820536557,2.15726820536557,1,2001
3,1999,2.5889077193912,2.5889077193912,1,2001
4,1999,3.30291800718503,3.30291800718503,1,2001
1,2000,3.46291887960881,3.46291887960881,1,2001
2,2000,3.71833844079597,3.71833844079597,1,2001
3,2000,3.42582032327705,3.42582032327705,1,2001
4,2000,2.95112142660308,2.84410888755793,1,2001
1,2001,2.58596842916157,2.46797405832801,1,2001
2,2001,2.36687663069666,2.36594137108371,1,2001
3,2001,2.25733073146421,2.45016525747023,1,2001
4,2001,2.22081543172005,2.6328001491328,1,2001
1,2002,,2.82600047771662,1,2001
2,2002,,2.94192067486691,1,2001
3,2002,,2.99988077344206,1,2001
4,2002,,3.01920080630044,1,2001
1,1992,2.72315925425783,2.72315925007707,2,2001
2,1992,1.8517915323784,1.8517915323784,2,2001
3,1992,1.51716524696277,1.51716524696277,2,2001
4,1992,0.283968953218428,0.283968953218427,2,2001
1,1993,-1.82134734566562,-1.82134734566563,2,2001
2,1993,-1.19735998243676,-1.19735998243676,2,2001
3,1993,-0.539280726626856,-0.539280726626856,2,2001
4,1993,0.122086114985742,0.122086114985742,2,2001
1,1994,1.71983814454912,1.71983814454912,2,2001
2,1994,2.26523552094429,2.26523552094429,2,2001
3,1994,2.61111275708976,2.61111275708976,2,2001
4,1994,3.01660383501947,3.01660383501947,2,2001
1,1995,2.70174753335266,2.70174753335266,2,2001
2,1995,2.642412889691,2.642412889691,2,2001
3,1995,1.99414354734808,1.99414354734808,2,2001
4,1995,1.45648115389034,1.45648115389034,2,2001
1,1996,1.15636592781578,1.15636592781578,2,2001
2,1996,1.18844856258942,1.18844856258942,2,2001
3,1996,1.71324110342836,1.71324110342836,2,2001
4,1996,1.62903360800561,1.62903360800561,2,2001
1,1997,1.63322220605815,1.63322220605815,2,2001
2,1997,2.24745588557476,2.24745588557476,2,2001
3,1997,2.31880606941275,2.31880606941275,2,2001
4,1997,3.05009530270959,3.05009530270959,2,2001
1,1998,3.65672441083753,3.65672441083753,2,2001
2,1998,2.80240716744327,2.80240716744327,2,2001
3,1998,2.69362301651821,2.69362301651821,2,2001
4,1998,2.0512642030373,2.0512642030373,2,2001
1,1999,1.94706905499871,1.94706905499871,2,2001
2,1999,2.17312645796066,2.17312645796066,2,2001
3,1999,2.60720708024904,2.60720708024904,2,2001
4,1999,3.35784310339589,3.35784310339589,2,2001
1,2000,3.50785656100208,3.50785656100208,2,2001
2,2000,3.72602877463053,3.72602877463053,2,2001
3,2000,3.26451404118731,3.26451404118731,2,2001
4,2000,2.9726283324931,2.9726283324931,2,2001
1,2001,2.352369492366,2.14498919088692,2,2001
2,2001,1.98021418828974,1.88977664636576,2,2001
3,2001,1.79413653625161,2.02616984021423,2,2001
4,2001,1.7321106522389,2.37334791371691,2,2001
1,2002,,2.7504900081584,2,2001
2,2002,,2.9767752648233,2,2001
3,2002,,3.08991789315575,2,2001
4,2002,,3.12763210259989,2,2001
1,1992,2.71182658469744,2.71182658314263,3,2001
2,1992,1.7995858723844,1.7995858723844,3,2001
3,1992,1.56265402144173,1.56265402144173,3,2001
4,1992,0.300179124195244,0.300179124195243,3,2001
1,1993,-1.86918615582022,-1.86918615582022,3,2001
2,1993,-1.17073719615387,-1.17073719615387,3,2001
3,1993,-0.541506739168274,-0.541506739168274,3,2001
4,1993,0.148425574539956,0.148425574539957,3,2001
1,1994,1.75896708535044,1.75896708535044,3,2001
2,1994,2.26375702732313,2.26375702732313,3,2001
3,1994,2.56953821880677,2.56953821880677,3,2001
4,1994,3.01723243194558,3.01723243194558,3,2001
1,1995,2.69152223450895,2.69152223450895,3,2001
2,1995,2.65111141956895,2.65111141956895,3,2001
3,1995,2.03395646460769,2.03395646460769,3,2001
4,1995,1.41941297759898,1.41941297759898,3,2001
1,1996,1.19774981985865,1.19774981985865,3,2001
2,1996,1.17189968730615,1.17189968730616,3,2001
3,1996,1.70069170739338,1.70069170739338,3,2001
4,1996,1.61718280112144,1.61718280112144,3,2001
1,1997,1.57598168147433,1.57598168147433,3,2001
2,1997,2.2592320456075,2.2592320456075,3,2001
3,1997,2.34106979464004,2.34106979464004,3,2001
4,1997,3.07308308592402,3.07308308592402,3,2001
1,1998,3.76750843753499,3.76750843753499,3,2001
2,1998,2.89212054680734,2.89212054680734,3,2001
3,1998,2.74215352411953,2.74215352411953,3,2001
4,1998,2.08970352245939,2.08970352245939,3,2001
1,1999,1.93700673342123,1.93700673342123,3,2001
2,1999,2.150371190566,2.150371190566,3,2001
3,1999,2.61954319302655,2.61954319302655,3,2001
4,1999,3.39664764800103,3.39664764800103,3,2001
1,2000,3.5346385797665,3.5346385797665,3,2001
2,2000,3.74577345875151,3.74577345875151,3,2001
3,2000,3.31414767706695,3.31414767706695,3,2001
4,2000,2.92178434318169,2.92178434318169,3,2001
1,2001,2.51303351189847,2.51303351189847,3,2001
2,2001,1.00183975349783,0.470467215037989,3,2001
3,2001,0.246242874297519,0.362678122867425,3,2001
4,2001,-0.00562275210258667,1.37074163263115,3,2001
1,2002,,2.67573314157354,3,2001
2,2002,,3.45872804693898,3,2001
3,2002,,3.85022549962169,3,2001
4,2002,,3.98072465051593,3,2001
1,1992,2.6951888633341,2.6951888624328,4,2001
2,1992,1.77568375684734,1.77568375684734,4,2001
3,1992,1.54190565703765,1.54190565703765,4,2001
4,1992,0.285861055981851,0.285861055981851,4,2001
1,1993,-1.86112322512254,-1.86112322512254,4,2001
