target_quarter,target_year,spf_filter_cy,spf_filter_ny,origin_quarter,origin_year
2,1991,1.22035149289275,1.22035149345545,1,2001
3,1991,0.242686548220705,0.242686548220706,1,2001
4,1991,3.9019132783761,3.9019132783761,1,2001
1,1992,5.67949033371342,5.67949033371342,1,2001
2,1992,-2.15845385305231,-2.15845385305231,1,2001
3,1992,-1.28747712943088,-1.28747712943088,1,2001
4,1992,-0.889854327095996,-0.889854327095996,1,2001
1,1993,-2.76785324946042,-2.76785324946042,1,2001
2,1993,0.308948526366471,0.30894852636647,1,2001
3,1993,1.22447410419595,1.22447410419595,1,2001
4,1993,1.4903550775744,1.4903550775744,1,2001
1,1994,4.05992642595303,4.05992642595303,1,2001
2,1994,2.07549720979923,2.07549720979923,1,2001
3,1994,2.73678377932585,2.73678377932585,1,2001
4,1994,3.37393012264526,3.37393012264526,1,2001
1,1995,2.43561441206268,2.43561441206268,1,2001
2,1995,2.10065976966085,2.10065976966085,1,2001
3,1995,0.40745099421633,0.40745099421633,1,2001
4,1995,0.923318769291126,0.923318769291126,1,2001
1,1996,0.975795507589483,0.975795507589483,1,2001
2,1996,2.58868091543496,2.58868091543496,1,2001
3,1996,2.27653823417493,2.27653823417493,1,2001
4,1996,0.847520542300018,0.847520542300018,1,2001
1,1997,0.707462962374184,0.707462962374184,1,2001
2,1997,4.9673476350411,4.9673476350411,1,2001
3,1997,2.90482768543348,2.90482768543348,1,2001
4,1997,3.39029458423401,3.39029458423401,1,2001
1,1998,3.44358337696575,3.44358337696575,1,2001
2,1998,1.3529405317863,1.3529405317863,1,2001
3,1998,2.1617340502966,2.1617340502966,1,2001
4,1998,1.08394753321359,1.08394753321359,1,2001
1,1999,3.07501228384053,3.07501228384053,1,2001
2,1999,2.31828188277918,2.31828188277918,1,2001
3,1999,3.89934161643468,3.89934161643468,1,2001
4,1999,3.92760695631864,3.92760695631864,1,2001
1,2000,3.71508896273649,3.71508896273649,1,2001
2,2000,3.33240467802769,3.33240467802769,1,2001
3,2000,2.73217648097268,2.73217648097268,1,2001
4,2000,2.70596852813999,2.67922558588515,1,2001
1,2001,2.68580856442254,2.65631008585661,1,2001
2,2001,2.67371258619207,2.67344177924006,1,2001
3,2001,2.66766459707683,2.71578371246366,1,2001
4,2001,2.66564860070509,2.76849893195557,1,2001
1,2002,,2.81675048414396,1,2001
2,2002,,2.845701415457,1,2001
3,2002,,2.86017688111352,1,2001
4,2002,,2.86500203633236,1,2001
2,1991,1.03380705507058,1.03380705366117,2,2001
3,1991,0.221951484942906,0.221951484942905,2,2001
4,1991,3.86633767332045,3.86633767332045,2,2001
1,1992,5.86906539211933,5.86906539211933,2,2001
2,1992,-2.35096919690087,-2.35096919690088,2,2001
3,1992,-1.08865822184565,-1.08865822184565,2,2001
4,1992,-1.08937515191143,-1.08937515191143,2,2001
1,1993,-2.74514395996807,-2.74514395996807,2,2001
2,1993,0.155283009133944,0.155283009133944,2,2001
3,1993,1.57299987862149,1.5729998786215,2,2001
4,1993,1.56781798588088,1.56781798588088,2,2001
1,1994,3.61303084986029,3.61303084986029,2,2001
2,1994,2.32065514073023,2.32065514073023,2,2001
3,1994,2.95413091159094,2.95413091159094,2,2001
4,1994,3.18283271645303,3.18283271645303,2,2001
1,1995,2.35210954829024,2.35210954829024,2,2001
2,1995,2.0844020883876,2.0844020883876,2,2001
3,1995,0.377715613502794,0.377715613502793,2,2001
4,1995,1.02426197502647,1.02426197502647,2,2001
1,1996,1.14641432399198,1.14641432399198,2,2001
2,1996,2.213971591817,2.213971591817,2,2001
3,1996,2.4763225923129,2.4763225923129,2,2001
4,1996,0.690128817546776,0.690128817546776,2,2001
1,1997,1.16309018329293,1.16309018329292,2,2001
2,1997,4.70743652207279,4.70743652207279,2,2001
3,1997,2.76266170244552,2.76266170244552,2,2001
4,1997,3.59973205362374,3.59973205362374,2,2001
1,1998,3.56629010829461,3.56629010829461,2,2001
2,1998,1.2979694127919,1.2979694127919,2,2001
3,1998,2.32838326100828,2.32838326100828,2,2001
4,1998,1.031845155816,1.031845155816,2,2001
1,1999,3.14396944211055,3.14396944211055,2,2001
2,1999,2.19943459981997,2.19943459981997,2,2001
3,1999,4.07845750807045,4.07845750807046,2,2001
4,1999,4.02089109551278,4.02089109551278,2,2001
1,2000,3.7440865434178,3.7440865434178,2,2001
2,2000,3.06382008204198,3.06382008204198,2,2001
3,2000,2.23845215236032,2.23845215236031,2,2001
4,2000,2.84977351479012,2.84977351479012,2,2001
1,2001,2.53555624429266,2.42638118323401,2,2001
