origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,91.4215472716828,93.3561490068995,2.11255792105282,2.08530529398309
2,2001,91.4011815801101,93.2197079390957,2.01713152348371,1.99231314590616
3,2001,96.7406581517412,98.361591623018,2.1407334882225,2.1181695356469
4,2001,95.6650101186202,97.7509626141509,2.03610922424609,2.04696234272619
1,2002,99.5115480152835,101.475689263062,2.08371689723255,2.06139578585009
2,2002,103.298954987637,105.162131324918,2.10480758562862,2.08869971297344
3,2002,104.510757685655,106.381818293246,2.09600386243897,2.08807276768017
4,2002,103.904054243067,105.253017963139,2.02373129964422,2.0025688266389
1,2003,107.370722388124,109.165409310363,1.97486135431405,1.95448368273808
2,2003,109.50396441575,111.165011998688,2.00017068573387,1.97999677602391
3,2003,110.848819739496,112.346910996136,1.99999021364843,1.98011261407722
4,2003,113.240744758902,114.658660253513,2.05804648280169,2.04022983305846
1,2004,117.504954209858,119.332905746391,2.04326048382993,2.02376044447596
2,2004,119.016989266946,120.786852519944,2.04153338307389,2.02586204008663
3,2004,119.584277515756,121.137687247727,2.01086107329073,1.99418482967792
4,2004,122.014826348321,123.612308141106,2.06600307804522,2.05578168061291
1,2005,124.530009956087,126.366660370823,1.98796700023319,1.9716150022949
2,2005,120.194689165034,121.737529279964,1.79033071573751,1.77456779164685
3,2005,123.257542501233,124.72064390069,1.84856178974965,1.83408616469013
4,2005,122.031747385632,124.155149747509,1.78219409389139,1.79369461316444
1,2006,125.256832437009,126.954732506579,1.74481511545774,1.73117727919992
2,2006,125.576004636021,127.096573070028,1.71372011162826,1.7002148788431
3,2006,126.14783329703,127.572283339092,1.69629573024151,1.68513394644806
4,2006,127.025949953694,128.355634897495,1.6985025822021,1.68926323950549
1,2007,131.433106338589,133.306721396355,1.69765890650092,1.69056645942967
2,2007,132.116337564582,133.65290193812,1.67951851116938,1.66802338327895
3,2007,133.24055299306,134.642650072779,1.6782176467513,1.66755576108555
4,2007,134.591967071907,135.980611482692,1.69253194928743,1.68533707289994
1,2008,138.706376317125,140.343306382974,1.68454787653323,1.67229001690378
2,2008,143.153388286104,145.259488399381,1.76270263647457,1.76459802449077
3,2008,143.55453189605,145.31717881801,1.74181018706241,1.73934857495969
4,2008,143.219157253303,144.515478808749,1.71309929953728,1.70378154524461
1,2009,152.986003060453,154.712402371987,1.84650861593456,1.83375630329593
2,2009,166.336746579709,169.844504527445,2.17820891823877,2.21622674653842
3,2009,165.918166985709,168.693855199229,2.12364417884426,2.14429211938548
4,2009,166.380680261619,167.784935299894,2.10767526141744,2.09422378280149
1,2010,171.522937477164,173.385347628135,2.12138979639624,2.10743107901877
2,2010,172.09840050592,173.79961920309,2.09316197313261,2.07955989321627
3,2010,175.85906905231,178.845460643774,2.15843829301217,2.18373219629743
4,2010,174.216141624098,175.873496458441,2.08552505872898,2.07968243633935
1,2011,177.757289250439,179.587341319433,2.05661736577827,2.04372540205346
2,2011,180.363746746626,182.413530211695,2.08362831636812,2.07979564721499
3,2011,181.9659287042,183.668924399464,2.08909004717823,2.08047804958695
4,2011,182.50845054087,184.202367064413,2.07733600555464,2.07282266395327
1,2012,187.317295769826,189.165809061276,2.08154532980327,2.0692747057955
2,2012,189.004605795657,190.942577037997,2.08434185546218,2.07794882273293
3,2012,189.151849442241,190.753094510964,2.05407955602357,2.04400081819737
4,2012,190.244340096121,192.73450089566,2.05650482332021,2.07105158718815
