origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,89.2390004194505,91.3146567881554,1.9942142014885,1.975780273539
2,2001,90.5977035732461,92.6650677337959,1.97424997239835,1.95725272434713
3,2001,93.6213194158179,95.7347350939043,2.04363819368517,2.02569863074674
4,2001,96.9539870667454,99.1030819480595,2.12460016913659,2.10767941557348
1,2002,99.6388879454719,101.790749650379,2.08929137808457,2.07374524268022
2,2002,102.078712298299,104.212899650458,2.11576632490347,2.10203673158235
3,2002,103.364127287266,105.477149171894,2.09678334846156,2.08159130085235
4,2002,104.864779909152,106.906265263823,2.08747737611773,2.06886457561672
1,2003,106.334791229297,108.445858139744,2.00387239653441,1.98954893579346
2,2003,107.474403809173,109.597692149201,1.9778843515724,1.9657364766
3,2003,109.651894764039,111.806580287517,1.99979368228761,1.98871445939563
4,2003,112.584186418148,114.755384594559,2.04740931940653,2.03717306777889
1,2004,116.322094463895,118.425769659831,2.0661555639693,2.05151156064609
2,2004,117.625597758471,119.719463809515,2.04669703310586,2.0334824796154
3,2004,119.37893581318,121.467834622877,2.05031412435306,2.03644850499277
4,2004,121.170066178779,123.189666844702,2.05055496243849,2.03473860843481
1,2005,123.533902726587,125.618719610204,2.0143196726305,2.00123361497641
2,2005,124.579021225948,126.648551725414,1.9874074237637,1.97540682396099
3,2005,120.710308179057,122.707990950861,1.80068149511562,1.78924304673015
4,2005,124.173410952475,126.128019339057,1.85790066226974,1.84520415785476
1,2006,123.392221087417,125.371999524528,1.73604684279726,1.72601508701321
2,2006,125.826671277798,127.817659954924,1.75915544626866,1.74908009995898
3,2006,126.106254041119,128.090991057988,1.72309595062445,1.71318257289011
4,2006,127.584658366525,129.617936512043,1.71684460428012,1.70971182641651
1,2007,129.833480585943,131.799365546112,1.69627286282381,1.68718294329421
2,2007,131.437008309142,133.400034742041,1.69465872489076,1.68588356106829
3,2007,132.613614580387,134.56549763455,1.68704592779169,1.67770664890132
4,2007,134.102078628939,135.987933819809,1.68204523707112,1.67241792095666
1,2008,137.280668806262,139.252265368942,1.68663497071944,1.6778796370058
2,2008,138.07521903888,140.029874256556,1.66748099076253,1.65941806361155
3,2008,142.962466172184,144.969304208723,1.74705714208428,1.74019151751262
4,2008,143.149627514286,145.098255800524,1.71424071324933,1.70601907425652
1,2009,145.497365526645,147.9159266051,1.69768831150392,1.69448249854859
2,2009,151.151673693365,154.016274292779,1.79459138458987,1.80920218977831
3,2009,157.058707361551,160.984826360373,1.86353096023023,1.9326069090203
4,2009,166.248466152002,168.398269522914,2.11661714098607,2.10829557148367
1,2010,169.752440764934,171.88277784222,2.12159373227061,2.11125744006364
2,2010,170.984548025985,173.096542813865,2.10497414409968,2.09564309575691
3,2010,172.799048432429,174.90894099283,2.10854907220828,2.09889391874019
4,2010,173.91302200464,176.165273334,2.08725433857248,2.0831538585535
1,2011,176.778379164889,178.887130662066,2.07700795572642,2.06747432638025
2,2011,178.102992542629,180.198601720088,2.06479990877821,2.05591700161043
3,2011,180.142048603075,182.262251921662,2.07203545455165,2.06439432745569
4,2011,183.040930606057,185.08708975774,2.10311672313589,2.09255445898365
1,2012,185.602880792274,187.779529563015,2.08262965303675,2.07438211557831
2,2012,187.715493223533,189.903178657974,2.09058198039695,2.08418299599404
3,2012,189.157041976275,191.296087703719,2.08467846194015,2.07623840382111
4,2012,190.09982245758,192.18348903124,2.06379416688188,2.05487072540729
1,2013,192.670866607102,194.815766623303,2.04567287411929,2.0380943592036
2,2013,194.655319570126,196.788922362636,2.0481697436552,2.04234835746615
3,2013,196.361725968243,198.509164092847,2.05020920252897,2.04415925153458
4,2013,199.711255365142,201.746636847632,2.08788720214372,2.07829507190836
1,2014,201.2566453541,203.356837241575,2.04664063535663,2.03865438069827
2,2014,202.563181790436,204.653191706534,2.03629992434558,2.02881167374574
3,2014,204.129906114231,206.22554170572,2.0341167789097,2.02662062711288
4,2014,206.981531574341,209.045446296507,2.05787401734224,2.04962192844313
1,2015,210.055485852961,212.154668296715,2.05231637182658,2.04454202690361
2,2015,212.25955760519,214.354432254826,2.06168006376358,2.0542993000017
3,2015,213.608210428304,215.700114258763,2.05467381027678,2.04717509043849
4,2015,214.047865617924,216.062901140209,2.02615395268793,2.01769159868473
1,2016,216.255033239855,218.335571377624,2.00362043224393,1.99632936269772
2,2016,219.63087868033,221.704521515656,2.00269523546646,1.99568463645219
3,2016,220.476312505268,222.47920368196,1.9846848556702,1.97677594293534
4,2016,221.758134568839,223.766750929493,2.01024161015688,2.00219657806885
1,2017,224.068712672559,226.144707224744,1.99111658573526,1.98418730292622
2,2017,225.82803546676,227.8992578891,1.99135978858321,1.98482802211344
3,2017,227.076329839977,229.143322319757,1.98371435322247,1.97700661111194
4,2017,228.288161542223,230.29710971291,1.97313573003405,1.96585826691727
1,2018,230.231335698274,232.293739094039,1.94893948761902,1.94250554898641
2,2018,231.508518701193,233.564892815768,1.9407148797703,1.93471645101044
3,2018,232.700574684667,234.749856719306,1.93288753943885,1.92661094384641
4,2018,235.261578771763,237.244222646504,1.94747220993291,1.94026071907286
1,2019,237.714612022209,239.772265477291,1.9335662297556,1.92734232915774
2,2019,238.993944509984,241.042930159459,1.92603187265702,1.9202321111196
3,2019,241.121542787152,243.171168674578,1.93480809704478,1.92873245913067
4,2019,246.965181359492,248.97210474508,2.00665557959828,1.99943903211611
1,2020,253.835257360406,255.939784878203,2.07084628434761,2.06429003948064
2,2020,259.773341328186,268.768218635559,2.12460863558571,2.15915789566063
3,2020,276.149187276374,291.949180925538,2.43731112473418,2.64126948399085
4,2020,350.298096864206,360.885493946864,3.79146385706447,4.49115111295638
1,2021,454.485215539943,459.667831616364,10.539422088059,10.6312994920529
2,2021,465.245169380921,468.83375028544,11.2188733632431,11.1776157952684
3,2021,468.575980688174,472.0379188231,11.2255150894858,11.1861725056979
4,2021,472.95184254819,476.646519311525,11.3352433709294,11.3070551370387
1,2022,476.572622027658,480.191975803346,11.1668494688912,11.1226919402953
2,2022,480.116073228968,483.655898314139,11.1756150746702,11.131868299121
3,2022,484.535962241737,487.969707547317,11.2810072021095,11.2396993689725
4,2022,485.481281807136,488.824563852063,11.088471128638,11.0525279524885
1,2023,487.644939192192,491.235251152209,10.796067425774,10.7551337834845
2,2023,490.698279526853,494.201725235207,10.7654806124649,10.7247335076967
3,2023,491.277589128853,494.642083829727,10.5457740950061,10.5082463668905
4,2023,492.939744019797,496.231993867385,10.4352481630891,10.4032147760783
1,2024,497.023726397964,500.559581173414,10.3238976376045,10.2852081516136
2,2024,500.292076765264,503.753492577715,10.3159681667199,10.2781457073857
3,2024,498.529804984832,501.840223443425,9.93718446628703,9.90322041798227
4,2024,500.302695096457,503.547263853675,9.84857536384498,9.81953995483752
