origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
1,2001,174.492813562429,176.312524984926,1.97178144006179,1.94593131449922,1.94260685421622,1.93479733455681
2,2001,177.205263007524,178.963528031325,1.9503015496088,1.92903896698249,1.90518339317987,1.90461600121958
3,2001,182.929172076428,184.560241607353,2.01615516083934,1.99954119631774,1.94496867198006,1.93316839231944
4,2001,187.329313194741,191.030707629032,2.09032009497019,2.08095707919708,2.02005907146495,2.00781325343426
1,2002,194.016280496716,195.923504363872,2.07338167865771,2.05303333733601,1.96051880361024,1.96251029606125
2,2002,199.325025265291,201.147072301603,2.1062449129571,2.08127430820958,1.99818898269732,1.9935352485845
3,2002,202.251055454771,203.876335406634,2.08093453168874,2.06959857838427,1.98248848555587,1.97916007729927
4,2002,203.19006973169,206.462543527411,2.0604384175693,2.0393551673272,1.99862887498225,1.98493504474026
1,2003,209.206952247412,211.197725394383,1.98506275141323,1.96739060907625,1.97070154498457,1.97700981646508
2,2003,212.982622091475,214.820433200316,1.96174489835631,1.94571645980276,1.99807661139713,1.9966927339698
3,2003,218.603278207659,220.119910608805,1.98175965326681,1.96496409203204,2.06242507735178,2.05061131923481
4,2003,221.927525518268,225.572550985838,2.03586698507677,2.01758660506096,2.09176625749691,2.08731797350175
1,2004,231.171705073476,233.145670496844,2.05210956037662,2.03277540469857,2.10992008866058,2.11204192674002
2,2004,235.051781452221,236.824720857231,2.03038019470834,2.01222726642474,2.13072594088133,2.13046083755289
3,2004,238.465592694889,240.012567898099,2.02649161884394,2.01206257955284,2.11947646191416,2.11527678104739
4,2004,239.338007716639,242.761237372312,2.02843989513059,2.01163185272203,2.1096904046949,2.09765406710168
1,2005,247.099308879564,249.013740568651,2.00495088981247,1.98898074166619,2.1088517592706,2.11149963273151
2,2005,250.541939616433,252.275168243694,1.9741157667557,1.96011083425307,2.12399822428274,2.12286644473035
3,2005,246.389656633257,247.818804787731,1.78516184080853,1.77108667944107,2.04525571445876,2.04497498689702
4,2005,251.459417190689,254.947325399385,1.83887461965504,1.82720856482954,2.12741812382296,2.1164289664454
1,2006,252.134498160152,253.907062567429,1.72870577147667,1.71403724770894,1.99353841040331,1.9942183847849
2,2006,257.137374370781,258.789338844212,1.75129063078865,1.7378867149793,2.01415695380942,2.0118030774104
3,2006,257.971696540265,259.451253688668,1.70173677840671,1.69577929214268,1.97241780065636,1.97476986064357
4,2006,258.362851392277,261.490725585276,1.70624745970724,1.69091661783973,1.95840448856625,1.94900016991434
1,2007,264.746042017818,266.448135515938,1.68425124174019,1.67117991982943,1.92931640286777,1.92942625679376
2,2007,267.757426014824,269.40409737507,1.68146754818062,1.67464119361027,1.90857105772323,1.90782916080577
3,2007,269.237710794214,270.600648430328,1.6700292799874,1.65778428690349,1.87229635988153,1.86940206155856
4,2007,270.221486319977,273.168384297922,1.67209442563241,1.6598642343278,1.87466825203338,1.8533652490574
1,2008,277.854255395119,279.634150082189,1.67762636790375,1.66796940158978,1.85636467454525,1.85542164614462
2,2008,279.535552184526,281.104249532163,1.65455450900438,1.636092752415,1.82576416533126,1.82460626719023
