origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
1,2001,181.25576377401,183.073009127776,2.08619432678631,2.05821474103355,2.04049468578846,2.04226530275215
2,2001,182.451290259111,184.024248010991,1.98843885454234,1.97037452458351,1.99993965088507,1.99271828081478
3,2001,189.18136672563,192.501226188614,2.13406045906859,2.10738306735373,2.0732806729601,2.05285349262729
4,2001,189.459603395014,195.22414981684,2.03999350646427,2.03910282582875,2.14288264936581,2.10906717043984
1,2002,198.998499963994,200.859504935889,2.06029151475354,2.04195556685444,2.09672757072256,2.09392100070309
2,2002,205.562431395117,207.288809610448,2.08950736859868,2.0750584973991,2.12621378068509,2.11952027933131
3,2002,206.205494023744,209.837620044922,2.09145382312951,2.07565582448896,2.10687978965055,2.07860497736049
4,2002,206.256923573563,211.494263421516,2.02387392720897,1.99511960977334,2.13244813784909,2.11526263167801
1,2003,216.259411420328,218.017598953687,1.96078511937474,1.94305346486851,2.13420097162798,2.13135591226443
2,2003,221.49749428015,223.051251084753,1.98438233137244,1.97010966409489,2.1721508972708,2.16861391908898
3,2003,224.226754344007,227.808845381754,1.9931995263916,1.97497638160638,2.23319598641402,2.22542423531072
4,2003,227.172659001538,233.096833455568,2.0581774129905,2.03659658271514,2.25796122837087,2.25414161079602
1,2004,238.170421001959,239.933014924154,2.03321745309283,2.01251591798276,2.25617779309949,2.25548478870865
2,2004,242.587936045954,244.156267876408,2.03101749153732,2.01873706521214,2.28155584785961,2.27500966496574
3,2004,242.340806643911,245.832669008244,2.00662926315361,1.98687745276086,2.24840880321183,2.24037013367826
4,2004,244.594607971715,250.344913746538,2.06632816745813,2.05085787729863,2.24630379876014,2.23114935056915
1,2005,253.932718597481,255.680736753715,1.97945515434193,1.96423799872586,2.25042781563933,2.24746691100447
2,2005,249.735505103893,251.181157368698,1.78355377551884,1.76991990369164,2.16710130009057,2.1665503330229
3,2005,255.470382224201,258.891309282323,1.84578777302398,1.82984107924904,2.27427185844779,2.2589686375507
