origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
1,2001,179.548334717503,181.15963643601,1.9573401865611,1.94185869857146,1.95767455106741,1.95797240414022
2,2001,180.872407904839,184.153465484522,1.93658692179771,1.91756787345669,1.97331999310896,1.94915043922978
3,2001,184.262494457158,189.347724024961,2.01960082039202,1.99797158871077,2.00013846383745,1.9587249388149
4,2001,187.384933899252,195.04567874972,2.08964792673727,2.08361988634364,2.0168734208825,1.9864975149833
1,2002,198.790084039157,200.425197664107,2.06832897772147,2.05033819028044,1.96448246874217,1.96064010707147
2,2002,200.335107806231,203.759177690475,2.0900232618943,2.0746800660258,1.94747009493456,1.92885141101997
3,2002,200.670617662496,205.933622646033,2.07955827331505,2.06187303950504,1.91497893483397,1.88842348178139
4,2002,201.043485621414,208.116396214775,2.06090722425935,2.02590911275046,1.90950193797379,1.87804568469906
1,2003,211.212776032577,212.792728476164,1.96993145980451,1.95891691613493,1.87570180785385,1.8705773309026
2,2003,212.507749056422,216.114754181793,1.95462857950433,1.93193803389953,1.88348509368289,1.88266530854408
3,2003,215.962728973798,221.755638171493,1.98586028491833,1.95873053384544,1.94254313814281,1.93965347854134
4,2003,219.9311446815,228.174768112849,2.03739488124787,2.00361131597163,2.01175861527284,2.01660482781679
1,2004,233.769574879108,235.406323656158,2.03408034434345,2.01958313278353,2.03642417665369,2.03284256745396
2,2004,235.426994770682,239.036485647354,2.0218074439204,2.00270177589472,2.05460161554385,2.04611720024377
3,2004,235.945743639033,241.444873138061,2.02679851221507,2.00391918150087,2.02416659315634,2.00842701100194
4,2004,236.765213251145,244.331579094677,2.02665495830115,1.99557619412298,2.01209348990032,1.99927879122734
1,2005,248.901103523525,250.496245059655,1.98484552977542,1.97202195297205,2.01470395941887,2.01276948916184
2,2005,249.454868295262,252.967936274075,1.96642687591634,1.95168919837463,2.00521388965276,1.99330939424684
3,2005,243.722871645451,248.969017488485,1.78252902908135,1.76211922979752,1.9587584725417,1.93759039476676
4,2005,249.237217383479,256.841050740305,1.83401846655041,1.81668151759685,2.04990644687326,2.04091564579364
1,2006,254.31140653949,255.789987879052,1.71506553682225,1.70106901846356,1.929965659141,1.9250760220791
2,2006,256.789585380884,260.130232835467,1.74358057235025,1.73174498852389,1.92918638252982,1.92155163052038
3,2006,255.394734878075,260.510915587088,1.70240905051447,1.69198742421238,1.89680055349749,1.87755779817654
4,2006,255.773371330817,262.726687930433,1.70456961705168,1.68262039287581,1.87985901730813,1.86413329572798
1,2007,266.069390272747,267.530385365449,1.67945890973011,1.66472438490957,1.83958985143111,1.84068028483816
2,2007,267.263655441417,270.362711932457,1.68261013683827,1.66804472900744,1.83378260007195,1.8171871164847
3,2007,266.93514170384,271.620201152159,1.67000916409726,1.65273228431722,1.80768420650615,1.78350856964044
4,2007,267.828425511889,274.06661672489,1.66988625267679,1.65178388174859,1.80161108578394,1.77505087522452
1,2008,279.106768355048,280.547112351818,1.67377263792178,1.66655053709807,1.77247102410345,1.76912969764052
2,2008,278.77046127865,281.824806540908,1.65103609409506,1.6408366250164,1.75260537114367,1.74682159856159
3,2008,285.615449848292,290.480747501578,1.75318196016042,1.74239057116875,1.80154335849538,1.77348872375759
4,2008,284.169865614491,290.825713558337,1.71074286069598,1.69192021710969,1.78066149724146,1.75772798982451
1,2009,296.127195038526,297.576645875288,1.7142423844353,1.70751739405143,1.76116942915235,1.76047679050312
2,2009,302.739125955769,306.170018158822,1.81641109972772,1.80099194152517,1.79923408931188,1.78572406461702
3,2009,315.850127703819,321.863850666487,2.00241985053987,1.99115697966756,1.9091143918317,1.91160855449156
4,2009,320.098969773375,327.637124711943,2.11301161389776,2.08642811212472,1.89691062335471,1.88839526368316
1,2010,333.235275537334,334.854460665655,2.09844076295796,2.08656659220843,1.90685493116893,1.90376184828613
2,2010,334.769067629066,338.273825019181,2.08572682860808,2.07034043676057,1.91993609383941,1.91160830264692
3,2010,335.991579456019,341.538485818636,2.09714772940056,2.07608451628468,1.91600092480863,1.90519600808855
4,2010,336.138512957959,343.585362679905,2.08969455827228,2.07286650382552,1.88907465209404,1.87780666908852
1,2011,348.061761334935,349.697278152566,2.05519950739435,2.04235737900812,1.89671318588226,1.89366107408135
2,2011,348.754879453565,352.256792820514,2.04316880976344,2.03213674917832,1.89099544523444,1.87697456940299
3,2011,349.282497362732,354.390830774647,2.06197936379073,2.04739242781243,1.85681583213038,1.84190404579957
4,2011,353.234953176411,360.666381165798,2.08922262680886,2.07182586674604,1.90007973181164,1.88710033685043
1,2012,367.415584927908,369.024289072096,2.07047341878876,2.05963059984191,1.94467727667427,1.94188092416254
2,2012,370.435120644335,373.972907423973,2.07697638038151,2.06427936510601,1.97078397398088,1.96350884209352
3,2012,371.506672877884,376.831393611203,2.07145438905952,2.05892761012209,1.97152289908185,1.95368617042194
4,2012,372.315112154003,379.747266708801,2.05049769372309,2.03681251923138,1.98462802493713,1.97114979605875
1,2013,384.573035868458,386.171900368955,2.02837688145273,2.02006670677211,1.98604322989466,1.98246530194152
2,2013,387.250954149241,390.796998116091,2.04052401266472,2.03007343882009,2.00433619767092,1.99561508947451
3,2013,388.924834361554,394.698278056216,2.04313989285202,2.02867798425194,2.01135840463712,2.00577002637084
4,2013,392.161172832437,399.718614054387,2.07416230958874,2.05929323266796,2.0230197464335,2.00692859725679
1,2014,402.203886698736,403.830569086775,2.03019096967775,2.02414315503847,1.99976782286819,1.99460312441473
2,2014,403.209539391577,406.82954936523,2.0225708171561,2.01340961837605,1.99844368791489,1.98818465557419
3,2014,404.654511646,410.185774659542,2.02012393748607,2.00521014071747,2.00559437490585,1.99460496938562
4,2014,408.549313753751,416.020054617739,2.04350991838727,2.02917228631497,2.03909110339647,2.0260010985757
1,2015,420.750285763978,422.375632893721,2.03481602890011,2.02687288160787,2.02717273892979,2.02579353245353
2,2015,422.395974483019,425.836826237622,2.04663592301381,2.03447052243243,2.01916003835129,2.00907889266902
3,2015,422.884771082234,428.173287337827,2.04060320962727,2.03094404686471,2.0089907320002,1.99379538574555
4,2015,421.530273259988,428.516004485503,2.01309210165434,1.99836930860013,1.98494416696266,1.97034313635153
1,2016,432.496933207649,434.093245385284,1.98700504056405,1.97451722867964,1.96720661774531,1.96482989075598
2,2016,435.464885368135,438.770555504069,1.99383931971772,1.9790143361902,1.97110331839675,1.96620449840753
3,2016,435.364094979528,440.355397779522,1.97333936561653,1.95752467694858,1.96644320551838,1.95345243356905
4,2016,435.783183048183,442.610159711223,1.99830654563985,1.98535900198618,1.95079730693879,1.93189427417021
1,2017,446.549464987208,448.133650324991,1.97183491973661,1.9675324383564,1.92852664105102,1.92872399475264
2,2017,448.196723669011,451.550497905325,1.97689838366425,1.96736651638726,1.93205449810233,1.92409502073249
3,2017,448.672380826341,453.646571715962,1.97001676716071,1.96034147240401,1.92405368064465,1.90925519021245
4,2017,448.510510335014,455.213963528246,1.96032717432646,1.94744364924989,1.91477764144419,1.89241661968199
1,2018,458.954968220848,460.519565576421,1.93161962227845,1.92840912231158,1.89430509623268,1.89258081045933
2,2018,459.953184023385,463.21762357653,1.92576953895153,1.91734696495852,1.89207317639576,1.88446850532891
3,2018,460.557018264674,465.576187066022,1.92325177516428,1.91043906484888,1.88716140109177,1.87870055189878
4,2018,462.916117890913,469.616818656019,1.9397590102035,1.92331940247576,1.89364513127091,1.88094217694651
1,2019,473.985122836456,475.561350037975,1.92107413256857,1.91313370610987,1.88337268205369,1.88048294634211
2,2019,475.26529978303,478.54932790079,1.91410107420741,1.90533200347026,1.88674466019215,1.87990155363586
3,2019,477.091648630208,482.04725230398,1.92357469339049,1.91332510893923,1.88800118655664,1.8759693113191
4,2019,483.962312894824,490.741744349138,1.99658548895811,1.98144074833043,1.91596685495212,1.8978268667214
1,2020,500.014323282067,501.651608902552,2.05475108356287,2.05143951306569,1.91028425335595,1.91098273378225
2,2020,579.414554259188,586.213380077777,2.46682672893398,2.70358278171508,3.08968562352574,2.86847657221131
3,2020,616.422208268728,636.15091989612,2.65441108147771,3.29138172202995,3.88079642418456,3.4639982906084
4,2020,667.652419664851,679.062847709525,6.2144736052971,6.13672361687774,2.54150912733659,2.57040334457199
1,2021,823.47451087568,826.638645052047,10.8763573830421,10.8462043379648,4.60293327364776,4.59906528561362
2,2021,829.193893777186,835.297686525557,11.1255879640607,11.0581636614825,4.61535356654518,4.60601747474637
3,2021,832.731208141199,841.844117872712,11.155098446684,11.0690872566816,4.64578612482273,4.62995411180333
4,2021,840.196542970557,854.213369551691,11.3389896209855,11.3101327133449,4.76842813059381,4.78072540454658
1,2022,848.299528605366,851.412635029218,11.0349509342579,10.9966729888297,4.45730654386684,4.45501076607236
2,2022,852.453715556803,858.526468867636,11.0734232497319,11.0066582154815,4.4964328795985,4.48789968697131
3,2022,858.428329890313,867.427004514411,11.2113833020623,11.1208547160297,4.56949971494673,4.55334886075675
4,2022,855.989720043982,867.835995053737,11.0510447477667,10.9418312812856,4.46560635504992,4.4401079751249
1,2023,866.044754378155,869.129454109669,10.6692095510493,10.6339184493162,4.2918856409765,4.28969856134708
2,2023,868.335316788472,874.335979760582,10.6695642150212,10.6073159100354,4.2816590004703,4.27401138654482
3,2023,864.681189957959,873.428046518566,10.4803795446926,10.3959463253136,4.16073385061897,4.14656529519195
4,2023,864.659362753058,876.230203723902,10.3969311234681,10.2960851683325,4.1241137388511,4.10166520833852
1,2024,880.036620369439,883.070248942201,10.2051228635938,10.1719487802949,4.07819320404155,4.07617472023151
2,2024,883.144583362457,889.051931622066,10.2263588241978,10.1681496159319,4.08700306831406,4.07985440472348
3,2024,874.205516548427,882.770568524013,9.87793624933859,9.80062074270961,3.88946684841102,3.87668240604941
4,2024,874.602044280868,885.956418140817,9.81288358723335,9.72034191561585,3.86495930830696,3.8454425228493
