origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
1,2001,182.969565816809,184.628449645193,2.07754818615755,2.05575290042093,2.0173975001755,2.00677201473666
2,2001,182.420028813255,185.739143224336,1.99297913067082,1.96465072932605,1.99532528140822,1.97537822842808
3,2001,184.718163883145,189.846700959989,2.03535205187151,2.01328654601445,1.99889035276086,1.96118133358945
4,2001,187.247237806266,194.987695286151,2.09700966838211,2.07203080082088,2.01545201208557,1.97792361158844
1,2002,198.789571099807,200.425197664107,2.06832897722497,2.05033819028069,1.96448249970759,1.9606401070728
2,2002,200.30899216188,203.734396727525,2.09219478032071,2.06396705758246,1.94532734369994,1.92601770825679
3,2002,200.187502858684,205.305559807673,2.07977866610382,2.04708584741089,1.9059453225187,1.87835916088901
4,2002,201.265221084142,208.280919235489,2.07174471730257,2.02681600469503,1.91493681431152,1.87501079399444
1,2003,211.212776017536,212.792728476164,1.96993162955519,1.95891691613489,1.87570177620989,1.87057733090267
2,2003,212.528646652625,216.14323270271,1.95481519664658,1.93457018799253,1.89207334252481,1.88408361281121
3,2003,217.285920703753,223.041824675896,2.0038623353874,1.98144438723153,1.97445604325679,1.9756975334187
4,2003,220.572051238615,228.971848448004,2.06053353692293,2.02877853660513,2.01258846701069,2.02695103463607
1,2004,233.769574879109,235.406323656158,2.03408034434197,2.0195831327837,2.03642417665262,2.0328425674538
2,2004,235.405598599678,239.017531062682,2.0164643072713,2.00175510826547,2.05892431854879,2.0487473068168
3,2004,235.626693997717,241.074715429154,2.01843559185903,1.9956670069656,2.02054368292922,2.00294956548464
4,2004,237.131692242375,244.592845791297,2.03752561294639,2.00722022767021,2.01657878150535,1.99973123544639
1,2005,248.901103523525,250.496245059655,1.98484552977513,1.97202195297189,2.01470395941902,2.0127694891618
2,2005,249.576628824819,253.089639680225,1.96779093954295,1.95165848603441,2.00768724346907,1.99464346532738
3,2005,243.468435080888,248.724269630712,1.77686007367502,1.76039813146127,1.95239193112304,1.93925764831672
4,2005,243.562299042272,251.028389283723,1.75065769960733,1.72224054603373,1.95631438114589,1.95124416694422
1,2006,255.014219229829,256.498231644714,1.7343949454109,1.72241997602003,1.93067681610896,1.92747183981059
2,2006,254.183043354249,257.466145588332,1.69958108619912,1.68839640640065,1.90430848269612,1.88877159414432
3,2006,253.939396170901,259.002628724071,1.67827470726633,1.66320077312588,1.88863619341752,1.868722165134
