origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cy_gamma,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd,cyandny_gamma
1,2001,173.849345099372,175.647623058576,1.97205276185672,0.68775997039705,1.95028371892991,1.81368888249564,1.8135171279972,0.69008482733231
2,2001,177.111979471736,178.719607598173,1.95524887452649,0.695764047074472,1.92772231479851,1.80785251433268,1.80610134705675,0.698823776633711
3,2001,181.31646660825,184.725910179372,2.02333091407214,0.683992002750315,2.00772683855258,1.87149529718501,1.85264864783959,0.689326283788702
4,2001,185.793873988683,191.155520486859,2.09994434199806,0.654134903043908,2.08117062027831,1.94990441156419,1.92141371212649,0.666433892694297
1,2002,195.328522023801,197.211969721749,2.0729773167366,0.685719925956694,2.05007526652778,1.93635724157116,1.93224768179392,0.686808097571064
2,2002,199.935004506937,201.710175592248,2.10409998662838,0.680207078253635,2.08888418479928,1.93173676579942,1.93240624795286,0.687602635556235
3,2002,201.076286908287,204.938165922431,2.08887532823747,0.67179558997869,2.07670814101675,1.93785094376251,1.9351104016773,0.688279138615873
4,2002,202.738966420091,208.467941744833,2.06312435533232,0.684521644231838,2.04103461326986,1.97777830146127,1.97798158591882,0.704551983848483
1,2003,212.193248935416,214.09064270828,1.98866134047414,0.711241643795069,1.96933678866804,2.01143738711959,2.00963264134101,0.712527540412806
2,2003,216.492234136191,218.127823462942,1.96072355932289,0.711133166279674,1.94662090664005,2.04945626316509,2.04436716808545,0.710590326233513
3,2003,219.302287949096,223.236160898354,1.98283094735,0.694611776213474,1.97059793871514,2.08929079474241,2.08817857545615,0.710192314782137
4,2003,222.304572022907,228.652448118002,2.03768155457531,0.67616165496112,2.01863673102902,2.10871678806723,2.12556339307995,0.705475864686235
1,2004,234.104554407764,235.957547810531,2.05149638615306,0.707348019335112,2.03322271616419,2.14237848341495,2.13956980884494,0.707171306822251
2,2004,237.935892681916,239.671944578959,2.03069431659065,0.717326133124581,2.01397798561539,2.15647076867115,2.15681083119192,0.722440465788079
3,2004,239.109310966864,242.88040935599,2.03288213170114,0.723461785703409,2.01461130276027,2.14441896991404,2.14309165931065,0.736993762476909
4,2004,240.107928063061,246.032008367953,2.0301109200663,0.727449257778631,2.00963478575034,2.13857006950118,2.14197954534302,0.748481602407534
1,2005,250.435542078141,252.271071326438,2.0013368662668,0.749547993734616,1.98395105640828,2.15672339446382,2.15531367878507,0.752749270652489
2,2005,253.89554388938,255.618523901786,1.97249067837278,0.75004796056115,1.95987133728696,2.16712009069777,2.16556440363025,0.755882500411747
3,2005,248.457320130315,251.953517214837,1.7891642121262,0.778895813838718,1.77127485785325,2.11984826763641,2.1138026739837,0.788671417336687
4,2005,252.796968112718,258.457331332917,1.84515978347382,0.730008206563066,1.82746686230943,2.1764912152799,2.17302633729492,0.746660585475848
1,2006,256.729802522443,258.41553588585,1.72597132219882,0.799722861524678,1.71104036686839,2.07959414552866,2.08171913566207,0.800788579876408
2,2006,261.432408211284,263.105819403485,1.7473588678982,0.785637533319926,1.73566271558591,2.08230761232658,2.08499136032239,0.794534899642459
3,2006,260.605973548081,264.066783114136,1.70663171502004,0.801567884928349,1.69618826493335,2.06180054837506,2.04947086091558,0.8080821498162
4,2006,261.34216307303,266.599797020018,1.70650270872028,0.79944843551358,1.69456778664635,2.05413738190459,2.03858061489183,0.80755758291067
1,2007,270.222374784107,271.88195497433,1.68436593009039,0.811608437003232,1.67126995025998,2.03300925149953,2.03190763083617,0.811098891844764
2,2007,273.313919581037,274.802007871316,1.68654887628724,0.811554414746154,1.67801877575452,2.00977136733536,2.00547102423648,0.813515511503917
3,2007,272.964199844944,276.112918979671,1.67199918851256,0.817407147243479,1.65628554185684,1.98000942826544,1.96687189879073,0.819405906304212
4,2007,274.111963396428,278.898820586369,1.6743932674377,0.816328919443978,1.65619439211381,1.98911501525697,1.95924529765242,0.825817274738262
1,2008,283.898678549201,285.615039361285,1.67535847685143,0.828642175403058,1.6701778561923,1.96167329715876,1.96493313959676,0.825732700179686
2,2008,286.028586964083,287.486384560695,1.65511993311797,0.831110451889506,1.64394203019483,1.9478406066368,1.94108824044603,0.832369682872218
3,2008,292.195023369194,295.507821484813,1.75457577011858,0.808946475979641,1.75039260398044,1.97141746557732,1.95523888718585,0.810958525386267
4,2008,291.4779965277,296.313640686771,1.70007369599461,0.816835200056228,1.686474099321,1.98434325523526,1.96105837115992,0.818325507123244
1,2009,304.065875259128,306.982879313201,1.69231016883648,0.757071906395087,1.70277778492013,2.05936413900914,2.06924360096616,0.754701653306778
2,2009,316.997796652971,319.076336123922,1.79598983593031,0.650638255102479,1.80437056041346,2.20595819253305,2.19658049885788,0.654675953620246
3,2009,330.007681430277,333.83547561822,2.01269885201213,0.55326124888076,1.99931917133613,2.31069581398426,2.30636264440986,0.557028199994906
4,2009,334.293089199943,340.066562749867,2.11236491242379,0.564046162213201,2.09823478354419,2.29428459108467,2.28461012847282,0.569726580664817
1,2010,345.001230321211,346.915684087257,2.11420580503116,0.565262531564697,2.10188292835303,2.28988824514936,2.2881544031684,0.56573047864456
2,2010,348.335865943622,350.136544043341,2.09602833703567,0.56796504938762,2.0844823430394,2.28635353582759,2.28612810830902,0.570169548690044
3,2010,349.952189311288,353.656530204953,2.09873242571612,0.566533085000924,2.08695410609632,2.28871801818811,2.28005277430928,0.569423103387674
4,2010,351.03298399128,356.687274950083,2.09627842918879,0.566533645171447,2.08238277963286,2.28286282579929,2.27260362386675,0.572876336363029
1,2011,360.19333366624,362.072498037999,2.06983270534188,0.578104597153946,2.0575267001857,2.26610752027134,2.26437964658754,0.578825355437509
2,2011,363.579492071581,365.411871833628,2.05776525456371,0.58217570039037,2.04730927005293,2.26205757729522,2.26242311654685,0.583597615249648
3,2011,365.981570126783,369.535318184311,2.07147613076837,0.580052615577855,2.05909482423563,2.27367072932393,2.26251727438518,0.582183431733495
4,2011,368.958037983922,374.581636704995,2.09147678126028,0.564777370872937,2.07881395950583,2.29693225917886,2.28552867626301,0.569572590991496
1,2012,379.719154608497,381.768304626129,2.07639546130795,0.556481604229137,2.0667903565143,2.31341214281279,2.31273109683429,0.556504213439789
