year,month,varname
2001,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2001,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,10,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,11,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2002,12,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,1,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,2,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,3,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,4,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,5,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,6,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,7,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,8,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
2003,9,ESA.Q.I2.S.0000.B1QG00.1000.TTTT.Q.U.A
