survey,sentout,deadline,published 
1999Q4,27/10/1999,3/11/1999,9/12/1999
2000Q1,2/2/2000,9/2/2000,9/3/2000
2000Q2,28/04/2000,5/5/2000,15/06/2000
2000Q3,27/07/2000,4/8/2000,21/09/2000
2000Q4,25/10/2000,2/11/2000,11/1/2001
2001Q1,23/01/2001,1/2/2001,8/3/2001
2001Q2,25/04/2001,3/5/2001,14/06/2001
2001Q3,25/07/2001,3/8/2001,20/09/2001
2001Q4,22/10/2001,29/10/2001,13/12/2001
2002Q1,30/01/2002,4/2/2002,14/03/2002
2002Q2,17/04/2002,22/04/2002,9/5/2002
2002Q3,17/07/2002,22/07/2002,8/8/2002
2002Q4,16/10/2002,23/10/2002,14/11/2002
2003Q1,22/01/2003,27/01/2003,13/02/2003
2003Q2,16/04/2003,24/04/2003,15/05/2003
2003Q3,16/07/2003,23/07/2003,7/8/2003
2003Q4,16/10/2003,28/10/2003,13/11/2003
2004Q1,21/01/2004,28/01/2004,12/2/2004
2004Q2,16/04/2004,26/04/2004,13/05/2004
2004Q3,16/07/2004,26/07/2004,12/8/2004
2004Q4,18/10/2004,21/10/2004,11/11/2004
2005Q1,20/01/2005,26/01/2005,10/2/2005
2005Q2,18/04/2005,22/04/2005,12/5/2005
2005Q3,18/07/2005,22/07/2005,11/8/2005
2005Q4,18/10/2005,24/10/2005,10/11/2005
2006Q1,19/01/2006,23/01/2006,9/2/2006
2006Q2,20/04/2006,26/04/2006,11/5/2006
2006Q3,17/07/2006,21/07/2006,10/8/2006
2006Q4,17/10/2006,20/10/2006,9/11/2006
2007Q1,17/01/2007,24/01/2007,15/02/2007
2007Q2,16/04/2007,23/04/2007,17/05/2007
2007Q3,16/07/2007,18/07/2007,9/8/2007
2007Q4,16/10/2007,18/10/2007,15/11/2007
2008Q1,16/01/2008,18/01/2008,14/02/2008
2008Q2,16/04/2008,18/04/2008,15/05/2008
2008Q3,16/07/2008,18/07/2008,14/08/2008
2008Q4,15/10/2008,17/10/2008,13/11/2008
2009Q1,15/01/2009,20/01/2009,12/2/2009
2009Q2,16/04/2009,20/04/2009,14/05/2009
2009Q3,15/07/2009,17/07/2009,13/08/2009
2009Q4,15/10/2009,19/10/2009,12/11/2009
2010Q1,15/01/2010,19/01/2010,11/2/2010
2010Q2,16/04/2010,20/04/2010,13/05/2010
2010Q3,14/07/2010,19/07/2010,12/8/2010
2010Q4,15/10/2010,19/10/2010,11/11/2010
2011Q1,14/01/2011,18/01/2011,10/2/2011
2011Q2,15/04/2011,19/04/2011,12/5/2011
2011Q3,14/07/2011,19/07/2011,11/8/2011
2011Q4,14/10/2011,18/10/2011,10/11/2011
2012Q1,17/01/2012,20/01/2012,16/02/2012
2012Q2,17/04/2012,19/04/2012,10/5/2012
2012Q3,16/07/2012,19/07/2012,9/8/2012
2012Q4,16/10/2012,22/10/2012,15/11/2012
2013Q1,16/01/2013,22/01/2013,14/02/2013
2013Q2,16/04/2013,19/04/2013,9/5/2013
2013Q3,16/07/2013,19/07/2013,8/8/2013
2013Q4,16/10/2013,22/10/2013,14/11/2013
2014Q1,16/01/2014,24/01/2014,13/02/2014
2014Q2,16/04/2014,25/04/2014,15/05/2014
2014Q3,17/07/2014,24/07/2014,14/08/2014
2014Q4,16/10/2014,23/10/2014,13/11/2014
2015Q1,7/1/2015,13/01/2015,23/01/2015
2015Q2,31/03/2015,7/4/2015,16/04/2015
2015Q3,30/06/2015,6/7/2015,17/07/2015
2015Q4,30/09/2015,6/10/2015,23/10/2015
2016Q1,5/1/2016,11/1/2016,22/01/2016
2016Q2,31/03/2016,6/4/2016,22/04/2016
2016Q3,30/06/2016,6/7/2016,22/07/2016
2016Q4,30/09/2016,6/10/2016,21/10/2016
2017Q1,4/1/2017,10/1/2017,20/01/2017
2017Q2,3/4/2017,7/4/2017,28/04/2017
2017Q3,3/7/2017,7/7/2017,21/07/2017
2017Q4,2/10/2017,6/10/2017,27/10/2017
2018Q1,8/1/2018,11/1/2018,26/01/2018
2018Q2,4/4/2018,10/4/2018,27/04/2018
2018Q3,2/7/2018,6/7/2018,27/07/2018
2018Q4,1/10/2018,5/10/2018,26/10/2018
2019Q1,7/1/2019,11/1/2019,25/01/2019
2019Q2,18/03/2019,22/03/2019,11/4/2019
2019Q3,1/7/2019,5/7/2019,26/07/2019
2019Q4,1/10/2019,7/10/2019,25/10/2019
2020Q1,7/1/2020,13/01/2020,24/01/2020
2020Q2,31/03/2020,7/4/2020,4/5/2020
2020Q3,30/06/2020,6/7/2020,17/07/2020
2020Q4,2/10/2020,9/10/2020,30/10/2020
2021Q1,7/1/2021,11/1/2021,22/01/2021
2021Q2,31/03/2021,12/4/2021,23/04/2021
2021Q3,30/06/2021,5/7/2021,23/07/2021
2021Q4,1/10/2021,11/10/2021,29/10/2021
2022Q1,7/1/2022,13/01/2022,4/2/2022
2022Q2,1/4/2022,4/4/2022,15/04/2022
2022Q3,1/7/2022,5/7/2022,22/07/2022
2022Q4,30/09/2022,6/10/2022,28/10/2022
2023Q1,6/1/2023,11/1/2023,3/2/2023
2023Q2,31/03/2023,7/4/2023,5/5/2023
2023Q3,30/06/2023,5/7/2023,28/07/2023
2023Q4,29/09/2023,5/10/2023,27/10/2023
2024Q1,5/1/2024,10/1/2024,26/01/2024
2024Q2,18/03/2024,21/03/2024,12/4/2024
2024Q3,2/7/2024,4/7/2024,19/07/2024
2024Q4,1/10/2024,3/10/2024,18/10/2024
2025Q1,7/1/2025,9/1/2025,31/01/2025
2025Q2,1/4/2025,4/4/2025,22/04/2025
2025Q3,1/7/2025,3/7/2025,25/07/2025
2025Q4,1/10/2025,7/10/2025,31/10/2025
2026Q1,7/1/2026,12/1/2026,6/2/2026
