origin_year,origin_month,origin_day,target_quarter,target_year,rgdp_growth,imputed,rgdp_growth_ann
2001,1,31,2,1991,1.22035149289275,FALSE,
2001,1,31,3,1991,0.242686548220705,FALSE,
2001,1,31,4,1991,3.9019132783761,FALSE,
2001,1,31,1,1992,5.67949033371342,FALSE,
2001,1,31,2,1992,-2.15845385305231,FALSE,
2001,1,31,3,1992,-1.28747712943088,FALSE,
2001,1,31,4,1992,-0.889854327095996,FALSE,
2001,1,31,1,1993,-2.76785324946042,FALSE,
2001,1,31,2,1993,0.30894852636647,FALSE,
2001,1,31,3,1993,1.22447410419595,FALSE,
2001,1,31,4,1993,1.4903550775744,FALSE,-0.861918066094114
2001,1,31,1,1994,4.05992642595303,FALSE,
2001,1,31,2,1994,2.07549720979923,FALSE,
2001,1,31,3,1994,2.73678377932585,FALSE,
2001,1,31,4,1994,3.37393012264526,FALSE,2.40465436766857
2001,1,31,1,1995,2.43561441206268,FALSE,
2001,1,31,2,1995,2.10065976966085,FALSE,
2001,1,31,3,1995,0.40745099421633,FALSE,
2001,1,31,4,1995,0.923318769291126,FALSE,2.20941193682196
2001,1,31,1,1996,0.975795507589483,FALSE,
2001,1,31,2,1996,2.58868091543496,FALSE,
2001,1,31,3,1996,2.27653823417493,FALSE,
2001,1,31,4,1996,0.847520542300018,FALSE,1.42018457782167
2001,1,31,1,1997,0.707462962374184,FALSE,
2001,1,31,2,1997,4.9673476350411,FALSE,
2001,1,31,3,1997,2.90482768543348,FALSE,
2001,1,31,4,1997,3.39029458423401,FALSE,2.28011947138138
2001,1,31,1,1998,3.44358337696575,FALSE,
2001,1,31,2,1998,1.3529405317863,FALSE,
2001,1,31,3,1998,2.1617340502966,FALSE,
2001,1,31,4,1998,1.08394753321359,FALSE,2.75222517396627
2001,1,31,1,1999,3.07501228384053,FALSE,
2001,1,31,2,1999,2.31828188277918,FALSE,
2001,1,31,3,1999,3.89934161643468,FALSE,
2001,1,31,4,1999,3.92760695631864,FALSE,2.49338410153377
2001,1,31,1,2000,3.71508896273649,FALSE,
2001,1,31,2,2000,3.33240467802769,FALSE,
2001,1,31,3,2000,2.73217648097268,FALSE,
2001,1,31,4,2000,,TRUE,
2001,1,31,1,2001,,TRUE,
2001,1,31,2,2001,,TRUE,
2001,1,31,3,2001,,TRUE,
2001,1,31,4,2001,,TRUE,
2001,2,28,2,1991,1.12384132543095,FALSE,
2001,2,28,3,1991,0.134704883392822,FALSE,
2001,2,28,4,1991,3.38051563436741,FALSE,
2001,2,28,1,1992,6.45892265514567,FALSE,
2001,2,28,2,1992,-2.39835653912331,FALSE,
2001,2,28,3,1992,-1.4058829426451,FALSE,
2001,2,28,4,1992,-1.03930645228429,FALSE,
2001,2,28,1,1993,-2.48722497551369,FALSE,
2001,2,28,2,1993,0.261585554797206,FALSE,
2001,2,28,3,1993,1.07745753590149,FALSE,
2001,2,28,4,1993,1.71488962413158,FALSE,-0.861917685005098
2001,2,28,1,1994,4.03510399010705,FALSE,
2001,2,28,2,1994,1.96530724927766,FALSE,
2001,2,28,3,1994,2.64558865235922,FALSE,
2001,2,28,4,1994,3.65476389547685,FALSE,2.40465417379643
2001,2,28,1,1995,2.53235273036725,FALSE,
2001,2,28,2,1995,1.82873469737295,FALSE,
2001,2,28,3,1995,0.314341194141732,FALSE,
2001,2,28,4,1995,1.00606940099812,FALSE,2.20941231964413
2001,2,28,1,1996,1.04061681177248,FALSE,
2001,2,28,2,1996,2.59022703151404,FALSE,
2001,2,28,3,1996,2.35233068526104,FALSE,
2001,2,28,4,1996,0.642050914407721,FALSE,1.42018476041832
2001,2,28,1,1997,0.626060319585409,FALSE,
2001,2,28,2,1997,5.16869805980198,FALSE,
2001,2,28,3,1997,3.07695105613279,FALSE,
2001,2,28,4,1997,3.25790249169673,FALSE,2.28011891515236
2001,2,28,1,1998,3.10510116834875,FALSE,
2001,2,28,2,1998,1.74210094258378,FALSE,
2001,2,28,3,1998,2.22492370023901,FALSE,
2001,2,28,4,1998,0.937577295332837,FALSE,2.74945693114894
2001,2,28,1,1999,2.95530720786368,FALSE,
2001,2,28,2,1999,2.38759912588513,FALSE,
2001,2,28,3,1999,4.07044578157292,FALSE,
2001,2,28,4,1999,3.83010038943159,FALSE,2.49633435771097
2001,2,28,1,2000,3.63961695105834,FALSE,
2001,2,28,2,2000,3.56902267910186,FALSE,
2001,2,28,3,2000,2.64981588182456,FALSE,
2001,2,28,4,2000,,TRUE,
2001,2,28,1,2001,,TRUE,
2001,2,28,2,2001,,TRUE,
2001,2,28,3,2001,,TRUE,
2001,2,28,4,2001,,TRUE,
2001,3,31,2,1991,1.1450144592428,FALSE,
2001,3,31,3,1991,0.144476387390524,FALSE,
2001,3,31,4,1991,3.35460368274103,FALSE,
2001,3,31,1,1992,6.46223013878078,FALSE,
2001,3,31,2,1992,-2.39511450987036,FALSE,
2001,3,31,3,1992,-1.39624048576191,FALSE,
2001,3,31,4,1992,-1.04570304255245,FALSE,
2001,3,31,1,1993,-2.47364717688081,FALSE,
2001,3,31,2,1993,0.247452526997649,FALSE,
2001,3,31,3,1993,1.07831265507614,FALSE,
2001,3,31,4,1993,1.69484280297774,FALSE,-0.861991479807911
2001,3,31,1,1994,4.04820288338041,FALSE,
2001,3,31,2,1994,1.96600624989458,FALSE,
2001,3,31,3,1994,2.67686654786623,FALSE,
2001,3,31,4,1994,3.61151150126071,FALSE,2.40466402104598
2001,3,31,1,1995,2.4718840660575,FALSE,
2001,3,31,2,1995,1.87564324462359,FALSE,
2001,3,31,3,1995,0.183191846613706,FALSE,
2001,3,31,4,1995,1.20251243351166,FALSE,2.19482528394166
2001,3,31,1,1996,0.948039432270642,FALSE,
2001,3,31,2,1996,2.57913091639148,FALSE,
2001,3,31,3,1996,2.46706477164138,FALSE,
2001,3,31,4,1996,0.44913323226432,FALSE,1.42018457782169
2001,3,31,1,1997,0.7383131966892,FALSE,
2001,3,31,2,1997,5.11811808396407,FALSE,
2001,3,31,3,1997,3.04867262818087,FALSE,
2001,3,31,4,1997,3.37697620804052,FALSE,2.28011965401485
2001,3,31,1,1998,2.98718309270585,FALSE,
2001,3,31,2,1998,1.83437229422911,FALSE,
2001,3,31,3,1998,2.1915584913315,FALSE,
2001,3,31,4,1998,0.94587369165493,FALSE,2.74945656420587
2001,3,31,1,1999,2.89837688208081,FALSE,
2001,3,31,2,1999,2.42167057545639,FALSE,
2001,3,31,3,1999,4.14408635224228,FALSE,
2001,3,31,4,1999,3.757040057663,FALSE,2.49633435771095
2001,3,31,1,2000,3.62161851635121,FALSE,
2001,3,31,2,2000,3.47702661674512,FALSE,
2001,3,31,3,2000,2.53258756694363,FALSE,
2001,3,31,4,2000,,TRUE,
2001,3,31,1,2001,,TRUE,
2001,3,31,2,2001,,TRUE,
2001,3,31,3,2001,,TRUE,
2001,3,31,4,2001,,TRUE,
2001,4,30,2,1991,1.03380705413862,FALSE,
2001,4,30,3,1991,0.221951484942906,FALSE,
2001,4,30,4,1991,3.86633767332045,FALSE,
2001,4,30,1,1992,5.86906539211933,FALSE,
2001,4,30,2,1992,-2.35096919690088,FALSE,
2001,4,30,3,1992,-1.08865822184565,FALSE,
2001,4,30,4,1992,-1.08937515191143,FALSE,
2001,4,30,1,1993,-2.74514395996807,FALSE,
2001,4,30,2,1993,0.155283009133944,FALSE,
2001,4,30,3,1993,1.5729998786215,FALSE,
2001,4,30,4,1993,1.56781798588088,FALSE,-0.861969934349549
2001,4,30,1,1994,3.61303084986029,FALSE,
2001,4,30,2,1994,2.32065514073023,FALSE,
2001,4,30,3,1994,2.95413091159094,FALSE,
2001,4,30,4,1994,3.18283271645303,FALSE,2.40466231220418
2001,4,30,1,1995,2.35210954829024,FALSE,
2001,4,30,2,1995,2.0844020883876,FALSE,
2001,4,30,3,1995,0.377715613502794,FALSE,
2001,4,30,4,1995,1.02426197502647,FALSE,2.1947946182902
2001,4,30,1,1996,1.14641432399198,FALSE,
2001,4,30,2,1996,2.213971591817,FALSE,
2001,4,30,3,1996,2.4763225923129,FALSE,
2001,4,30,4,1996,0.690128817546776,FALSE,1.42236359719079
2001,4,30,1,1997,1.16309018329293,FALSE,
2001,4,30,2,1997,4.70743652207279,FALSE,
2001,4,30,3,1997,2.76266170244552,FALSE,
2001,4,30,4,1997,3.59973205362374,FALSE,2.31477722000311
2001,4,30,1,1998,3.56629010829461,FALSE,
2001,4,30,2,1998,1.2979694127919,FALSE,
2001,4,30,3,1998,2.32838326100828,FALSE,
2001,4,30,4,1998,1.031845155816,FALSE,2.79543343272097
2001,4,30,1,1999,3.14396944211055,FALSE,
2001,4,30,2,1999,2.19943459981997,FALSE,
2001,4,30,3,1999,4.07845750807045,FALSE,
2001,4,30,4,1999,4.02089109551278,FALSE,2.5236384761715
2001,4,30,1,2000,3.7440865434178,FALSE,
2001,4,30,2,2000,3.06382008204198,FALSE,
2001,4,30,3,2000,2.23845215236032,FALSE,
2001,4,30,4,2000,2.84977351479012,FALSE,3.36534227141199
2001,4,30,1,2001,,TRUE,
2001,4,30,2,2001,,TRUE,
2001,4,30,3,2001,,TRUE,
2001,4,30,4,2001,,TRUE,
2001,5,31,2,1991,1.12498016162488,FALSE,
2001,5,31,3,1991,0.148815841229366,FALSE,
2001,5,31,4,1991,3.87301470725134,FALSE,
2001,5,31,1,1992,5.95594093058895,FALSE,
2001,5,31,2,1992,-2.45561850958964,FALSE,
2001,5,31,3,1992,-1.05851591465951,FALSE,
2001,5,31,4,1992,-1.12472806440553,FALSE,
2001,5,31,1,1993,-2.72660949136438,FALSE,
2001,5,31,2,1993,0.162038884735183,FALSE,
2001,5,31,3,1993,1.57649647215792,FALSE,
2001,5,31,4,1993,1.62923287945829,FALSE,-0.861354265450365
2001,5,31,1,1994,3.59586130502141,FALSE,
2001,5,31,2,1994,2.2504675990455,FALSE,
2001,5,31,3,1994,2.98757229601374,FALSE,
2001,5,31,4,1994,3.18368938526112,FALSE,2.40389789432036
2001,5,31,1,1995,2.28350917833167,FALSE,
2001,5,31,2,1995,2.17301888543981,FALSE,
2001,5,31,3,1995,0.382008238114961,FALSE,
2001,5,31,4,1995,1.02750689639974,FALSE,2.19501135830089
2001,5,31,1,1996,1.16946291942803,FALSE,
2001,5,31,2,1996,2.15011642939214,FALSE,
2001,5,31,3,1996,2.50193949805644,FALSE,
2001,5,31,4,1996,0.632818857244355,FALSE,1.42240525699282
2001,5,31,1,1997,1.13490336842408,FALSE,
2001,5,31,2,1997,4.75635876569991,FALSE,
2001,5,31,3,1997,2.84976929426788,FALSE,
2001,5,31,4,1997,3.58184983691825,FALSE,2.31477763728785
2001,5,31,1,1998,3.8009913844905,FALSE,
2001,5,31,2,1998,1.3395867391635,FALSE,
2001,5,31,3,1998,2.33251961747425,FALSE,
2001,5,31,4,1998,0.944886278737345,FALSE,2.86696214263329
2001,5,31,1,1999,3.25148316482584,FALSE,
2001,5,31,2,1999,2.11810759070918,FALSE,
2001,5,31,3,1999,4.12102083953767,FALSE,
2001,5,31,4,1999,4.03884030982378,FALSE,2.52799670277242
2001,5,31,1,2000,3.77528860696574,FALSE,
2001,5,31,2,2000,3.1226687751984,FALSE,
2001,5,31,3,2000,2.27915682084887,FALSE,
2001,5,31,4,2000,2.68168566946252,FALSE,3.38220156568767
2001,5,31,1,2001,,TRUE,
2001,5,31,2,2001,,TRUE,
2001,5,31,3,2001,,TRUE,
2001,5,31,4,2001,,TRUE,
2001,6,30,2,1991,1.12498016162488,FALSE,
2001,6,30,3,1991,0.148815841229366,FALSE,
2001,6,30,4,1991,3.87301470725134,FALSE,
2001,6,30,1,1992,5.95594093058895,FALSE,
2001,6,30,2,1992,-2.45561850958964,FALSE,
2001,6,30,3,1992,-1.05851591465951,FALSE,
