target_year,target_quarter,forecast_year,forecast_quarter,ens_fc
1999,3,1999,1,2.06098360655738
1999,4,1999,2,2.23090909090909
2000,1,1999,3,2.41520833333333
2000,2,1999,4,2.83076923076923
2000,3,2000,1,3.06333333333333
2000,4,2000,2,3.2477358490566
2001,1,2000,3,3.364375
2001,2,2000,4,3.06672413793104
2001,3,2001,1,2.70150943396226
2001,4,2001,2,2.36444444444444
2002,1,2001,3,1.97619047619048
2002,2,2001,4,1.24479166666667
2002,3,2002,1,1.67
2002,4,2002,2,2.35925925925926
2003,1,2002,3,2.44521464404255
2003,2,2002,4,1.69722222222222
2003,3,2003,1,1.53577284019231
2003,4,2003,2,1.30469387755102
2004,1,2003,3,1.20212681914894
2004,2,2003,4,1.60056507339623
2004,3,2004,1,1.97314814814815
2004,4,2004,2,1.9671904579661
2005,1,2004,3,2.0564037037037
2005,2,2004,4,1.95659307181818
2005,3,2005,1,1.86693213436364
2005,4,2005,2,1.86992545454545
2006,1,2005,3,1.63866666666667
2006,2,2005,4,1.69163265306122
2006,3,2006,1,1.91096866767857
2006,4,2006,2,2.18559629139868
2007,1,2006,3,1.99756664770627
2007,2,2006,4,2.02023897352277
2007,3,2007,1,2.06154035886276
2007,4,2007,2,2.17547303384864
2008,1,2007,3,2.37503212665442
2008,2,2007,4,2.1111987173709
2008,3,2008,1,1.72039774543245
2008,4,2008,2,1.361
2009,1,2008,3,0.879745110724502
2009,2,2008,4,0.115500067658636
2009,3,2009,1,-1.77554163533011
2009,4,2009,2,-1.97840469191489
2010,1,2009,3,-0.400867350806787
2010,2,2009,4,1.17140772076
2010,3,2010,1,1.23471144475046
2010,4,2010,2,1.43020956521739
2011,1,2010,3,1.35754894955951
2011,2,2010,4,1.34780881659771
2011,3,2011,1,1.441532931356
2011,4,2011,2,1.60559409211277
2012,1,2011,3,1.49726862286977
2012,2,2011,4,0.682140214931373
2012,3,2012,1,0.0736250785217392
2012,4,2012,2,0.222571582131818
2013,1,2012,3,0.0908391543317073
2013,2,2012,4,0.129356641590698
2013,3,2013,1,0.0958985489291667
2013,4,2013,2,0.386131118259091
2014,1,2013,3,0.599803630541463
2014,2,2013,4,0.910688242033333
2014,3,2014,1,1.11572209633864
2014,4,2014,2,1.29752338844545
2015,1,2014,3,1.30365222373095
2015,2,2014,4,1.03369008007083
2015,3,2015,1,1.20573991205745
2015,4,2015,2,1.69982915976667
2016,1,2015,3,1.75338425952857
2016,2,2015,4,1.7189502
2016,3,2016,1,1.70936956521739
2016,4,2016,2,1.60464862727273
2017,1,2016,3,1.3260275314475
2017,2,2016,4,1.37734234054872
2017,3,2017,1,1.56610084711915
2017,4,2017,2,1.62630381939545
2018,1,2017,3,1.799968446298
2018,2,2017,4,1.90974613867143
2018,3,2018,1,2.203153241502
2018,4,2018,2,2.176066499032
2019,1,2018,3,1.899428980744
2019,2,2018,4,1.8297807800375
2019,3,2019,1,1.554912762398
2019,4,2019,2,1.37916762416667
2020,1,2019,3,1.22445715056279
2020,2,2019,4,0.947377433108889
2020,3,2020,1,1.07812680089787
2020,4,2020,2,-2.77063387028571
2021,1,2020,3,-0.948598390989362
2021,2,2020,4,12.7495363294364
2021,3,2021,1,2.701459093025
2021,4,2021,2,4.24040807351569
2022,1,2021,3,6.12651132622826
2022,2,2021,4,4.85672790869565
2022,3,2022,1,3.3389825733098
2022,4,2022,2,1.79253896318605
2023,1,2022,3,1.02095359340233
2023,2,2022,4,-0.490163084888889
2023,3,2023,1,-0.0830683756521739
2023,4,2023,2,0.656512068510638
2024,1,2023,3,0.865992711666667
2024,2,2023,4,0.633035315471698
2024,3,2024,1,0.657656259166667
2024,4,2024,2,0.999048385535714
2025,1,2024,3,1.18909011
2025,2,2024,4,1.11881323520833
