target_year,target_quarter,forecast_year,forecast_quarter,ens_fc
1999,3,1999,1,2
1999,4,1999,2,2.3
2000,1,1999,3,2.4
2000,2,1999,4,2.8
2000,3,2000,1,3
2000,4,2000,2,3.2
2001,1,2000,3,3.3
2001,2,2000,4,3
2001,3,2001,1,2.7
2001,4,2001,2,2.4
2002,1,2001,3,2
2002,2,2001,4,1.2
2002,3,2002,1,1.6
2002,4,2002,2,2.3
2003,1,2002,3,2.5
2003,2,2002,4,1.7
2003,3,2003,1,1.55
2003,4,2003,2,1.2
2004,1,2003,3,1
2004,2,2003,4,1.5
2004,3,2004,1,2
2004,4,2004,2,1.9
2005,1,2004,3,2.1
2005,2,2004,4,2
2005,3,2005,1,1.8273
2005,4,2005,2,1.8
2006,1,2005,3,1.7
2006,2,2005,4,1.7
2006,3,2006,1,1.9
2006,4,2006,2,2.2
2007,1,2006,3,2
2007,2,2006,4,2.0014522851147
2007,3,2007,1,2.05
2007,4,2007,2,2.1
2008,1,2007,3,2.4
2008,2,2007,4,2.1
2008,3,2008,1,1.7
2008,4,2008,2,1.35
2009,1,2008,3,0.893627768112564
2009,2,2008,4,0.1
2009,3,2009,1,-1.975
2009,4,2009,2,-2
2010,1,2009,3,-0.42194906855611
2010,2,2009,4,1
2010,3,2010,1,1.25
2010,4,2010,2,1.4
2011,1,2010,3,1.45
2011,2,2010,4,1.3
2011,3,2011,1,1.4
2011,4,2011,2,1.6
2012,1,2011,3,1.5
2012,2,2011,4,0.7
2012,3,2012,1,-0.001085
2012,4,2012,2,0.1
2013,1,2012,3,0.0817
2013,2,2012,4,0
2013,3,2013,1,0.1
2013,4,2013,2,0.4
2014,1,2013,3,0.5
2014,2,2013,4,0.9
2014,3,2014,1,1.1
2014,4,2014,2,1.3
2015,1,2014,3,1.3
2015,2,2014,4,1.05
2015,3,2015,1,1.2
2015,4,2015,2,1.7
2016,1,2015,3,1.7
2016,2,2015,4,1.7
2016,3,2016,1,1.75
2016,4,2016,2,1.6085
2017,1,2016,3,1.3137647096
2017,2,2016,4,1.4
2017,3,2017,1,1.589896596
2017,4,2017,2,1.6
2018,1,2017,3,1.8
2018,2,2017,4,1.9
2018,3,2018,1,2.2
2018,4,2018,2,2.2
2019,1,2018,3,1.9
2019,2,2018,4,1.8
2019,3,2019,1,1.58333433885
2019,4,2019,2,1.4
2020,1,2019,3,1.2
2020,2,2019,4,1
2020,3,2020,1,1.1
2020,4,2020,2,-3
2021,1,2020,3,-1
2021,2,2020,4,13.085
2021,3,2021,1,2.65
2021,4,2021,2,4.4
2022,1,2021,3,6.14689832785
2022,2,2021,4,4.9926395
2022,3,2022,1,3.2
2022,4,2022,2,1.9
2023,1,2022,3,1
2023,2,2022,4,-0.43895404
2023,3,2023,1,-0.1
2023,4,2023,2,0.61875417
2024,1,2023,3,0.8815
2024,2,2023,4,0.54336794
2024,3,2024,1,0.6
2024,4,2024,2,1
2025,1,2024,3,1.23
2025,2,2024,4,1.15302751
