origin_year,origin_quarter,target_year,target_quarter,prediction
1968,4,1968,4,2.6103
1969,1,1969,1,3.0911
1969,2,1969,2,3.0111
1969,3,1969,3,1.0399
1969,4,1969,4,0.1588
1970,1,1970,1,0.7206
1970,2,1970,2,-0.6328
1970,3,1970,3,2.7963
1970,4,1970,4,-1.3285
1971,1,1971,1,7.0109
1971,2,1971,2,4.6628
1971,3,1971,3,6.2864
1971,4,1971,4,4.7794
1972,1,1972,1,5.9172
1972,2,1972,2,7.048
1972,3,1972,3,6.2352
1972,4,1972,4,6.7263
1973,1,1973,1,5.5212
1973,2,1973,2,5.2291
1973,3,1973,3,2.7441
1973,4,1973,4,1.435
1974,1,1974,1,-2.0929
1974,2,1974,2,-0.324
1974,3,1974,3,0.3426
1974,4,1974,4,-4.3226
1975,1,1975,1,-5.482
1975,2,1975,2,-0.8708
1975,3,1975,3,5.818
1975,4,1975,4,5.4957
1976,1,1976,1,5.2722
1976,2,1976,2,5.119
1976,3,1976,3,5.371
1976,4,1976,4,4.652
1977,1,1977,1,3.6421
1977,2,1977,2,6.0887
1977,3,1977,3,4.7301
1977,4,1977,4,4.5727
1978,1,1978,1,4.2472
1978,2,1978,2,7.3121
1978,3,1978,3,3.8812
1978,4,1978,4,2.9828
1979,1,1979,1,2.4391
1979,2,1979,2,1.1856
1979,3,1979,3,-1.7427
1979,4,1979,4,-1.8945
1980,1,1980,1,-0.021
1980,2,1980,2,-5.1409
1980,3,1980,3,-3.7633
1980,4,1980,4,1.8565
1981,1,1981,1,0.9247
1981,2,1981,2,0.5156
1981,3,1981,3,0
1981,4,1981,4,-3.4039
1982,1,1982,1,-2.9089
1982,2,1982,2,0.1349
1982,3,1982,3,1.6348
1982,4,1982,4,1.0847
1983,1,1983,1,3.5797
1983,2,1983,2,4.6456
1983,3,1983,3,7.0149
1983,4,1983,4,5.516
1984,1,1984,1,4.9262
1984,2,1984,2,3.7934
1984,3,1984,3,4.7124
1984,4,1984,4,2.4464
1985,1,1985,1,4.1572
1985,2,1985,2,3.0315
1985,3,1985,3,3.1484
1985,4,1985,4,3.122
1986,1,1986,1,2.8029
1986,2,1986,2,2.2836
1986,3,1986,3,2.3111
1986,4,1986,4,2.8538
1987,1,1987,1,2.5084
1987,2,1987,2,2.268
1987,3,1987,3,2.5531
1987,4,1987,4,2.3169
1988,1,1988,1,0.7245
1988,2,1988,2,2.3238
1988,3,1988,3,2.7371
1988,4,1988,4,2.6208
1989,1,1989,1,4.543
1989,2,1989,2,1.4758
1989,3,1989,3,1.5609
1989,4,1989,4,1.1109
1990,1,1990,1,1.3019
1990,2,1990,2,1.6498
1990,3,1990,3,1.4491
1990,4,1990,4,-1.3776
1991,1,1991,1,-1.8769
1991,2,1991,2,-0.1938
1991,3,1991,3,2.7409
1991,4,1991,4,1.5049
1992,1,1992,1,0.6097
1992,2,1992,2,2.9011
1992,3,1992,3,2.1094
1992,4,1992,4,1.8855
1993,1,1993,1,2.9889
1993,2,1993,2,2.6755
1993,3,1993,3,3.1076
1993,4,1993,4,3.5008
1994,1,1994,1,3.2155
1994,2,1994,2,3.7012
1994,3,1994,3,2.6
1994,4,1994,4,3.2
1995,1,1995,1,3
1995,2,1995,2,1.7587
1995,3,1995,3,2.0803
1995,4,1995,4,2.3
1996,1,1996,1,1.3018
1996,2,1996,2,2.9274
1996,3,1996,3,2.5424
1996,4,1996,4,2.1
1997,1,1997,1,2.2386
1997,2,1997,2,2.477
1997,3,1997,3,2.5622
1997,4,1997,4,2.6542
1998,1,1998,1,2.5171
1998,2,1998,2,2.4363
1998,3,1998,3,2.0988
1998,4,1998,4,2.4456
1999,1,1999,1,3
1999,2,1999,2,3.2
1999,3,1999,3,3.3001
1999,4,1999,4,3.7394
2000,1,2000,1,3.1608
2000,2,2000,2,4.2008
2000,3,2000,3,3.3984
2000,4,2000,4,3.2486
2001,1,2001,1,0.8451
2001,2,2001,2,1.2388
2001,3,2001,3,1.2203
2001,4,2001,4,-1.9358
2002,1,2002,1,1.4245
2002,2,2002,2,2.5
2002,3,2002,3,2.4
2002,4,2002,4,1.3296
2003,1,2003,1,2.1692
2003,2,2003,2,1.8
2003,3,2003,3,3.5368
2003,4,2003,4,4
2004,1,2004,1,4.4489
2004,2,2004,2,4.497
2004,3,2004,3,3.485
2004,4,2004,4,3.7
2005,1,2005,1,3.7165
2005,2,2005,2,3
2005,3,2005,3,4.2
2005,4,2005,4,3.2
2006,1,2006,1,4.397
2006,2,2006,2,3.4
2006,3,2006,3,2.7275
2006,4,2006,4,2.4837
2007,1,2007,1,2.5662
2007,2,2007,2,2.4
2007,3,2007,3,2.5
2007,4,2007,4,1.5382
2008,1,2008,1,0.6731
2008,2,2008,2,0.2051
2008,3,2008,3,1.1535
2008,4,2008,4,-2.9354
2009,1,2009,1,-5.1892
2009,2,2009,2,-1.5283
2009,3,2009,3,2.4387
2009,4,2009,4,2.6991
2010,1,2010,1,2.7015
2010,2,2010,2,3.3174
2010,3,2010,3,2.329
2010,4,2010,4,2.2441
2011,1,2011,1,3.5902
2011,2,2011,2,3.2443
2011,3,2011,3,2.2322
2011,4,2011,4,2.5972
2012,1,2012,1,2.227
2012,2,2012,2,2.382
2012,3,2012,3,1.604
2012,4,2012,4,1.7916
2013,1,2013,1,2.1389
2013,2,2013,2,1.82
2013,3,2013,3,2.2165
2013,4,2013,4,1.85
2014,1,2014,1,2.0033
2014,2,2014,2,3.3074
2014,3,2014,3,2.9993
2014,4,2014,4,2.7044
2015,1,2015,1,2.6523
2015,2,2015,2,2.4772
2015,3,2015,3,2.7123
2015,4,2015,4,2.62
2016,1,2016,1,2.0216
2016,2,2016,2,2.0658
2016,3,2016,3,2.5932
2016,4,2016,4,2.1647
2017,1,2017,1,2.2
2017,2,2017,2,3.1063
2017,3,2017,3,2.6282
2017,4,2017,4,2.5821
2018,1,2018,1,3.0116
2018,2,2018,2,3.0226
2018,3,2018,3,3.047
2018,4,2018,4,2.6109
2019,1,2019,1,1.4559
2019,2,2019,2,1.9136
2019,3,2019,3,1.777
2019,4,2019,4,1.651
2020,1,2020,1,1.6602
2020,2,2020,2,-32.2208
2020,3,2020,3,19.0931
2020,4,2020,4,4
2021,1,2021,1,3.2
2021,2,2021,2,7.8915
2021,3,2021,3,6.8083
2021,4,2021,4,4.6183
2022,1,2022,1,1.7633
2022,2,2022,2,2.3422
2022,3,2022,3,1.4
2022,4,2022,4,0.9991
2023,1,2023,1,0.5799
2023,2,2023,2,0.988
2023,3,2023,3,1.9
2023,4,2023,4,1.3133
2024,1,2024,1,2.1407
2024,2,2024,2,2.1252
2024,3,2024,3,1.8867
2024,4,2024,4,2.1734
2025,1,2025,1,2.4899
2025,2,2025,2,1.49
2025,3,2025,3,1.2617
1968,4,1969,1,1.7096
1969,1,1969,2,2.3522
1969,2,1969,3,2.9411
1969,3,1969,4,1.8517
1969,4,1970,1,0.285
1970,1,1970,2,0.2942
1970,2,1970,3,2.7783
1970,3,1970,4,2.1897
1970,4,1971,1,5.8716
1971,1,1971,2,4.6379
1971,2,1971,3,2.8853
1971,3,1971,4,5.7937
1971,4,1972,1,6.4029
1972,1,1972,2,6.5419
1972,2,1972,3,6.3286
1972,3,1972,4,5.6463
1972,4,1973,1,5.9061
1973,1,1973,2,5.5378
1973,2,1973,3,3.8657
1973,3,1973,4,1.5529
1973,4,1974,1,-0.3052
1974,1,1974,2,-0.5331
1974,2,1974,3,1.8697
1974,3,1974,4,1.1973
1974,4,1975,1,-1.7487
1975,1,1975,2,-0.4919
1975,2,1975,3,4.2686
1975,3,1975,4,5.9959
1975,4,1976,1,5.3986
1976,1,1976,2,5.8683
1976,2,1976,3,5.7019
1976,3,1976,4,5.4948
1976,4,1977,1,5.78
1977,1,1977,2,7.4446
1977,2,1977,3,6.1468
1977,3,1977,4,5.1754
1977,4,1978,1,4.6497
1978,1,1978,2,4.1694
1978,2,1978,3,4.5945
1978,3,1978,4,2.7517
1978,4,1979,1,2.2375
1979,1,1979,2,1.3035
1979,2,1979,3,-0.2315
1979,3,1979,4,-3.1716
1979,4,1980,1,-4.0362
1980,1,1980,2,-2.4612
1980,2,1980,3,-3.6105
1980,3,1980,4,-1.5981
1980,4,1981,1,0.8959
1981,1,1981,2,0.6029
1981,2,1981,3,2.0667
1981,3,1981,4,2.1404
1981,4,1982,1,-1.0659
1982,1,1982,2,2.7209
1982,2,1982,3,3.4132
1982,3,1982,4,2.4497
1982,4,1983,1,2.4464
1983,1,1983,2,2.7209
1983,2,1983,3,4.8673
1983,3,1983,4,4.4686
1983,4,1984,1,4.5191
1984,1,1984,2,4.3458
1984,2,1984,3,3.5041
1984,3,1984,4,3.6637
1984,4,1985,1,3.4164
1985,1,1985,2,3.869
1985,2,1985,3,4.7229
1985,3,1985,4,3.4889
1985,4,1986,1,2.857
1986,1,1986,2,3.0086
1986,2,1986,3,3.6739
