"spf_h0","spf_h1","spf_h2","spf_h3","spf_h4","ref_period","rgdp","target_quarter","target_year","origin_year","origin_month","origin_day","gdp_growth","origin_date","IQR_h0","IQR_h1","IQR_h2","IQR_h3","IQR_h4","EUP"
NA,NA,NA,NA,NA,1991 Q1,1274000.74,1,1991,2001,1,NA,NA,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1991 Q2,1277869.9,2,1991,2001,1,NA,1.22035149289275,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1991 Q3,1278644.5,3,1991,2001,1,NA,0.242686548220705,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1991 Q4,1290938.94,4,1991,2001,1,NA,3.9019132783761,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1992 Q1,1308890.69,1,1992,2001,1,NA,5.67949033371342,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1992 Q2,1301769.84,2,1992,2001,1,NA,-2.15845385305231,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1992 Q3,1297559.46,3,1992,2001,1,NA,-1.28747712943088,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1992 Q4,1294663.18,4,1992,2001,1,NA,-0.889854327095996,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1993 Q1,1285610.07,1,1993,2001,1,NA,-2.76785324946042,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1993 Q2,1286601.89,2,1993,2001,1,NA,0.30894852636647,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1993 Q3,1290522.46,3,1993,2001,1,NA,1.22447410419595,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1993 Q4,1295304.16,4,1993,2001,1,NA,1.4903550775744,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1994 Q1,1308255.71,1,1994,2001,1,NA,4.05992642595303,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1994 Q2,1314991.71,2,1994,2001,1,NA,2.07549720979923,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1994 Q3,1323897.94,3,1994,2001,1,NA,2.73678377932585,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1994 Q4,1334926.22,4,1994,2001,1,NA,3.37393012264526,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1995 Q1,1342981.43,1,1995,2001,1,NA,2.43561441206268,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1995 Q2,1349979.41,2,1995,2001,1,NA,2.10065976966085,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1995 Q3,1351352.44,3,1995,2001,1,NA,0.40745099421633,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1995 Q4,1354461.02,4,1995,2001,1,NA,0.923318769291126,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1996 Q1,1357753.19,1,1996,2001,1,NA,0.975795507589483,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1996 Q2,1366456.13,2,1996,2001,1,NA,2.58868091543496,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1996 Q3,1374167.58,3,1996,2001,1,NA,2.27653823417493,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1996 Q4,1377069.96,4,1996,2001,1,NA,0.847520542300018,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1997 Q1,1379499.09,1,1997,2001,1,NA,0.707462962374183,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1997 Q2,1396320.05,2,1997,2001,1,NA,4.9673476350411,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1997 Q3,1406351.6,3,1997,2001,1,NA,2.90482768543348,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1997 Q4,1418122.85,4,1997,2001,1,NA,3.39029458423401,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1998 Q1,1430176.85,1,1998,2001,1,NA,3.44358337696575,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1998 Q2,1434989.86,2,1998,2001,1,NA,1.3529405317863,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1998 Q3,1442682.94,3,1998,2001,1,NA,2.1617340502966,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1998 Q4,1446576.63,4,1998,2001,1,NA,1.08394753321359,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1999 Q1,1457571.25,1,1999,2001,1,NA,3.07501228384053,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1999 Q2,1465946.44,2,1999,2001,1,NA,2.31828188277918,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1999 Q3,1480032.67,3,1999,2001,1,NA,3.89934161643468,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1999 Q4,1494355.87,4,1999,2001,1,NA,3.92760695631864,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2000 Q1,1508045.76,1,2000,2001,1,NA,3.71508896273649,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2000 Q2,1520455.29,2,2000,2001,1,NA,3.33240467802769,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2000 Q3,1530735.93,3,2000,2001,1,NA,2.73217648097268,2001-01-01,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2000 Q4,1540850.875,4,2000,2001,4,NA,2.84977351479012,2001-04-01,NA,NA,NA,NA,NA,NA
2.65755134477452,NA,NA,NA,NA,2001 Q1,1549665.15,1,2001,2001,7,NA,2.20515515349451,2001-07-01,0.45472300626372,0.43741642364694,0.30554056001306,0.23378304108296,0.39359539741818,97.9439900174477
2.3090105678803,2.67455944053946,NA,NA,NA,2001 Q2,1550850.82,2,2001,2001,9,NA,0.201769249791095,2001-09-01,0.375363740254333,0.338836302004247,0.35247649660752,0.364702278042342,0.41766079740168,84.117599053608
1.33218127261764,2.38157107411098,2.71643030170874,NA,NA,2001 Q3,1553667.16,3,2001,2001,12,NA,0.385792469003743,2001-12-01,0.498495207505615,0.30315424459085,0.299340758279042,0.30019441697694,0.434321478122553,129.06260308084
0.898955353094143,1.93964993606901,2.56038329510012,2.76852075633104,NA,2001 Q4,1552406.85,4,2001,2002,4,NA,-0.660316880827816,2002-04-01,0.637920137899938,0.39903904105773,0.62197837645175,0.818619949759585,0.883658993222984,160.477970303969
1.28879125737367,1.80686339894714,2.67688154675961,2.75366502707376,2.81618763245504,2002 Q1,1555614.424,1,2002,2002,6,NA,0.871087304173601,2002-06-01,0.45337831640277,0.43803490579032,0.37146870460394,0.42474813375362,0.60985287048553,97.7187321312137
2.3699331377652,1.701246179308,2.35160822645894,3.11922051317397,2.86963406625794,2002 Q2,1563994.497,2,2002,2002,9,NA,1.36578692645493,2002-09-01,0.571708318987345,0.488603419684785,0.34338603581858,0.51845228747398,0.57742610453732,116.111093292664
3.27886949701646,2.81733424517747,2.09573624175287,2.62398064021484,3.34038999638115,2002 Q3,1569683,3,2002,2002,12,NA,1.32682913773279,2002-12-01,0.82030481518768,0.4006309551267,0.54058964679554,0.74201858439477,0.79069033143687,145.438126882125
1.75855668504173,3.00384625672667,2.85911615113808,2.44239018806614,2.71477144480014,2002 Q4,1574138.35,4,2002,2003,3,NA,0.67982324380218,2003-03-01,0.76271765076156,0.43539018567062,0.62361148866536,0.70532824333987,0.7148489581854,151.824193065122
1.3025041154887,1.8513186223942,2.43605656423236,2.72492640550039,2.71133676160571,2003 Q1,1574843.58,1,2003,2003,6,NA,0.0381512951699525,2003-06-01,0.33998520235465,0.344661364811905,0.373513095760445,0.30784822903062,0.29574480155801,211.513822884354
0.888057254347877,1.50716838335285,1.90697578480568,2.09538274873578,2.64441255811777,2003 Q2,1575188.54,2,2003,2003,9,NA,-0.181283707073288,2003-09-01,0.38704269803567,0.37937065745704,0.40653421503873,0.38532536252943,0.51786320592068,150.329318349726
0.918905550079979,1.28784516616586,1.80349165392334,1.93480436601142,1.92504584098749,2003 Q3,1580256.81,3,2003,2003,12,NA,1.54216770682993,2003-12-01,0.592634512942934,0.528205903269485,0.34843020464467,0.446298570064735,0.486918035375293,85.9938047115925
1.62213815617235,1.42960944488817,1.74176916774133,2.12397023360501,1.94408055974667,2003 Q4,1584883.96,4,2003,2004,3,NA,1.24123691900133,2004-03-01,0.41843784506999,0.344546218737145,0.442623763325045,0.520278442095045,0.54985721342056,88.8228388199731
1.9561048678061,1.8105442964766,1.86165372376768,2.14259587311985,2.40110042880273,2004 Q1,1595594.97,1,2004,2004,6,NA,2.31179840937314,2004-06-01,0.36744302223881,0.44115188701913,0.37843252140397,0.42765462556294,0.41267773875126,92.4534963411685
1.96507692781066,2.0995963218034,1.92358798065915,2.12088029109538,2.38309189634696,2004 Q2,1604748.79,2,2004,2004,9,NA,2.05686311441093,2004-09-01,0.46962996595282,0.450866545124285,0.284736338343928,0.345329338398683,0.405273487000478,108.1777212286
1.99321639604313,2.1248250817914,2.20429320349944,1.98010982275043,2.25049357475923,2004 Q3,1612461.44,3,2004,2004,12,NA,1.21526338263944,2004-12-01,0.29935856124405,0.26926703533266,0.30836612042324,0.298168411980077,0.29503362568555,94.2881884703307
2.05448108222718,2.08907562869874,2.19943282407742,2.27685062657607,1.99895043678085,2004 Q4,1617625.77,4,2004,2005,3,NA,0.619556677607136,2005-03-01,0.488591722636105,0.314867072822475,0.368405811428678,0.3619076225644,0.38521258821966,110.424922391291
1.86020048783004,1.98923171247691,2.22643785046971,2.22613077110963,2.32392370471519,2005 Q1,1640844.76,1,2005,2005,6,NA,2.00869283449305,2005-06-01,0.378864667663128,0.330047230788768,0.32202091651059,0.35071268453381,0.29994045768954,71.7928296043103
2.14516245697256,2.06813265690255,1.95008209062675,2.3088551835323,2.24214953932896,2005 Q2,1641807.01,2,2005,2005,9,NA,1.17100512102082,2005-09-01,0.538444274921317,0.41946809115256,0.282074291596945,0.34219570441673,0.345757989711195,95.9781889537404
1.4094557789803,2.2650109021607,2.17268183854023,1.93050727970167,2.3500638500636,2005 Q3,1794580.75,3,2005,2005,12,NA,2.55445183200291,2005-12-01,0.827926083489747,0.611811788408777,0.39633290595941,0.449543006011375,0.47721181690868,109.463722270037
1.77269853420967,1.61909641948143,2.15722470527419,2.20819796244014,1.92398234272664,2005 Q4,1807435.32,4,2005,2006,3,NA,1.24577709009654,2006-03-01,0.447560466144875,0.25230554526822,0.23665271170475,0.32847465708335,0.362166846517007,76.1477098416746
2.20683941090753,1.78300122390658,1.90816651483293,1.97255510700433,2.20903095829931,2006 Q1,1819418.21,1,2006,2006,6,NA,2.37170284882551,2006-06-01,0.12250472926292,0.138648396292875,0.190901909734975,0.2273928248597,0.212690426194195,74.8084090832899
2.52252550890837,2.09287121761027,1.78918283772473,2.08160857204384,1.86175334804241,2006 Q2,1835901.73,2,2006,2006,9,NA,3.59448506164404,2006-09-01,0.36790228544962,0.33802096776785,0.27079933475736,0.42010653882074,0.43791629602177,87.1134108297304
2.52139202874478,2.47693016250753,2.01458509008178,1.7922736446338,2.16832960064929,2006 Q3,1850006.8,3,2006,2006,12,NA,2.08971247466958,2006-12-01,0.318345489812947,0.33764822972674,0.30176132284078,0.49349349121854,0.503612588996145,72.5669042091404
2.17308004461854,2.17584735444222,2.17263058527247,1.96414453609055,1.7933039136035,2006 Q4,1867402.32,4,2006,2007,3,NA,3.5905790431354,2007-03-01,0.46568106897073,0.34445517797303,0.4872561389095,0.6637155982934,0.72624056150121,73.3282964669362
