origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,89.1477680417851,91.0288993938719,1.98985889547458,1.96450599490896
2,2001,90.4206384213255,92.2297912319092,1.96704154484391,1.94356757183417
3,2001,93.2456733347347,95.1317396430014,2.03230305339372,2.0173080355846
4,2001,96.0508532866287,97.894097330769,2.10491350658509,2.09270304366227
1,2002,99.5647169033034,101.529944303799,2.08634571329348,2.06399211400452
2,2002,102.076254160847,103.95058746888,2.12245655316654,2.09885916221203
3,2002,103.191888557354,105.023434845465,2.09926363401853,2.08102105696867
4,2002,103.950717786209,105.55150375865,2.06996431003932,2.05019629443818
1,2003,106.764140559352,108.701082198434,2.02302328664335,2.00327572908023
2,2003,107.294144478354,109.167929822321,1.97164410970971,1.95454831742565
3,2003,109.253328623018,110.993168850042,1.98970593983868,1.97300096130554
4,2003,110.734283185961,112.388656654079,1.99475136032513,1.98107505298636
1,2004,116.038044569519,117.952428458835,2.05481868215334,2.03481527102881
2,2004,117.464609251647,119.293756547929,2.04163389473684,2.02222479679816
3,2004,118.971660495749,120.673442505106,2.03974274292328,2.02145735720306
4,2004,119.617431956408,121.197637477683,2.01202062595735,1.9958067327958
1,2005,124.328348714963,126.237275349221,2.04471236296925,2.02622913437361
2,2005,124.447944209258,126.267098996402,1.98495447832988,1.96800757034319
3,2005,120.246699064374,121.856493088442,1.7919544754407,1.77804039855917
4,2005,123.195607606477,124.696941165529,1.84631806235302,1.83260805403765
1,2006,123.569940531335,125.772457016656,1.73939688249072,1.73108344129485
2,2006,125.294842684338,127.03085448405,1.74590909453098,1.73325241659971
3,2006,125.591527766436,127.18765707295,1.71415635140407,1.70259395326696
4,2006,125.463679329202,127.332728199915,1.6773105538687,1.67654066308748
1,2007,129.667979715424,131.391859155795,1.69215327718218,1.67890115331996
2,2007,131.154348027187,132.858999976029,1.69010934718919,1.67863288688513
3,2007,132.083257820075,133.588369824695,1.67864677425814,1.66633172565976
4,2007,133.097530163922,134.50788766313,1.67414098973075,1.66320770834922
1,2008,136.951181838941,138.720808638842,1.67945369998548,1.6683627870151
2,2008,138.711009615209,140.360669327162,1.6846603748598,1.67270234340129
3,2008,143.047605969727,144.884572303717,1.75933051671574,1.75312105454162
4,2008,142.194295525257,143.707045035346,1.70713528622677,1.69834940180862
1,2009,145.442308185271,148.084252578657,1.69732573467756,1.70673083341599
2,2009,151.161074251918,153.665593092986,1.79924086890978,1.80699926624973
3,2009,160.387288767536,162.112537716094,1.99465137134739,1.98373158408184
4,2009,165.748995259097,167.478462250639,2.11766064393681,2.10741570525421
1,2010,169.177864535522,171.136151646904,2.10543583402304,2.09200352338191
2,2010,171.510694804655,173.388946701505,2.12102407254069,2.107503199452
3,2010,172.156897074424,173.927651763114,2.09466050276356,2.08260465036829
4,2010,173.736060303177,175.43802982467,2.09623118479047,2.0862433049154
1,2011,176.765360816603,178.702560770978,2.07684897906407,2.06408360154276
2,2011,177.781291091235,179.639956860891,2.05722293487625,2.04500521165557
3,2011,180.026266376184,181.809892117731,2.07424365524244,2.0630514253361
4,2011,183.368286262253,185.636648753434,2.09209993373355,2.08435002454487
1,2012,185.595254228514,188.048821956955,2.07978778288381,2.07282672094002
2,2012,187.75224852678,190.248099631051,2.08608593834702,2.08052988239171
3,2012,190.031153213691,192.4091600426,2.09495628374909,2.08711322518549
4,2012,190.885266984869,193.166852411518,2.06517463389389,2.05825916224347
1,2013,192.885701395711,195.332504944307,2.04850990050303,2.0424582741925
2,2013,194.852185140441,197.376571186145,2.04784512412607,2.04478587714603
3,2013,198.040912623532,200.455382213831,2.08022985378065,2.07393927202569
4,2013,200.451350162614,202.694267368303,2.08917232060386,2.08182760890255
1,2014,201.499248849086,203.911951357642,2.05007412638696,2.04411204698698
2,2014,203.016102982936,205.396744852524,2.04206527694991,2.03536366528416
3,2014,204.727631900733,207.068898468034,2.03754355454586,2.03062430995998
4,2014,206.341686827838,208.594398436789,2.0284404712964,2.0221776424727
1,2015,210.172768954217,212.922122601213,2.04642563227541,2.04194224913249
2,2015,212.78824532866,215.260900629374,2.06665112464551,2.06049506917064
3,2015,214.389095646573,216.809393447615,2.0583110243855,2.05208696678771
4,2015,215.000658083229,217.313584074717,2.02739454190244,2.02194831382528
1,2016,216.61577553229,219.09915297137,2.00780848684061,2.00251749818246
2,2016,218.718279249431,221.167049657646,2.01199071346142,2.00625377192989
3,2016,219.704904205997,222.100909878225,1.99228918752149,1.98666554168235
4,2016,222.683928059005,224.979823322464,2.0113948442667,2.00611834676814
1,2017,224.430631742146,226.899194679297,1.99529344545457,1.99015642139643
2,2017,226.344326097782,228.780569038047,1.99563561525036,1.99014002338651
3,2017,227.420832011131,229.802406967891,1.97891970264828,1.97344016156501
4,2017,229.197951396245,231.487853464687,1.97417470600934,1.96932676491756
1,2018,230.589945512346,233.042331963763,1.95277881633584,1.94800447877542
2,2018,231.99777757709,234.415312940233,1.94425124282186,1.93914216189455
3,2018,233.433689213519,235.789129624312,1.93562540586586,1.93040547714791
4,2018,236.156564394944,238.418837078864,1.94844019629663,1.94368794147746
1,2019,238.037059881132,240.473842836467,1.93658986491268,1.93206178336193
2,2019,239.490022184618,241.892869334174,1.92963294470641,1.92474281444263
3,2019,241.843965204095,244.193230424877,1.93745140812663,1.93235344920404
4,2019,247.836709729968,250.105506426448,2.00765573833603,2.00271788396113
1,2020,254.147733336455,256.609894040353,2.07438941531862,2.06948178799572
2,2020,257.598383676253,261.239674927725,2.07917036585983,2.0716345335097
3,2020,276.780469634918,287.301758845854,2.44122196030853,2.55195093660296
4,2020,324.857965812693,350.435517544255,3.40914950710739,4.19671520824405
1,2021,454.357904678902,459.1351324759,10.5001851695926,10.5227163818968
2,2021,465.280917753254,468.937021291601,11.2220233623669,11.1857467350753
3,2021,468.678618082575,472.286787933567,11.2336544135826,11.2021180637267
4,2021,472.937440224927,476.529923343354,11.3134371369871,11.2738321278495
1,2022,476.587471899829,480.248437739179,11.1679294204773,11.1269881346148
2,2022,480.151500099917,483.759966021039,11.1786755248014,11.1400440765238
3,2022,484.634566064695,488.207966858777,11.2886394712351,11.2545430082176
4,2022,485.775816092755,489.3345154129,11.1027377951713,11.0693597003049
1,2023,487.662647798275,491.29605043983,10.7975330642494,10.7597651920927
2,2023,490.73439784149,494.307563624956,10.7683848798441,10.7324599605705
3,2023,491.389107645843,494.909379029529,10.5535204729496,10.5231444753553
4,2023,493.288707380208,496.800811326603,10.4517182159399,10.4205275506048
1,2024,497.043302808225,500.628106893946,10.325399561302,10.2901473710369
2,2024,500.33161963088,503.868902467135,10.3188902454043,10.2858680274922
3,2024,498.64943230542,502.12081255067,9.94477151073133,9.91723320029088
4,2024,500.667214952454,504.131023649136,9.86377923961098,9.83505179281729
