origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,91.113355652855,92.4149368917871,1.97155019092234,1.96214912338136
2,2001,92.6705745624829,93.7270518249082,1.94628733121556,1.93769243019244
3,2001,94.6269673902919,96.4392018909454,2.03093905354846,2.01304656953083
4,2001,97.532354606566,99.2795111976412,2.10489616777804,2.08944246165217
1,2002,101.613574177074,103.143131203457,2.07020429985481,2.06224372865016
2,2002,104.510298680128,105.667236507411,2.10677014180689,2.09758956943365
3,2002,105.176697325994,106.967958674827,2.09863541898135,2.08008428464624
4,2002,105.489460443036,107.081784517692,2.07016661613613,2.05026350140527
1,2003,108.783183045363,110.292347370651,2.00864924174492,2.00215152238668
2,2003,109.562912139967,110.923494453091,1.9548645498052,1.95217789885473
3,2003,110.749743204924,112.464745484034,1.99020431451564,1.97237115864115
4,2003,112.405414415082,114.068541561909,1.99400516107903,1.98159302873288
1,2004,118.032775840289,119.364646770127,2.04026802336462,2.03287369024179
2,2004,119.752700838414,120.786146154088,2.02509957196882,2.01726971384937
3,2004,120.33968371681,122.041693592476,2.03943725123983,2.02132896325885
4,2004,121.015800488639,122.58343434388,2.01170218769239,1.99539014012225
1,2005,126.320456324293,127.653984309995,2.03133341966095,2.02444315328047
2,2005,126.708655541056,127.755794511212,1.96992878012039,1.96313162902181
3,2005,121.684671529973,123.311786139737,1.79221646594262,1.77873981824265
4,2005,124.676355822649,126.171120529486,1.84642298039725,1.83267198441926
1,2006,125.916275498441,127.867850909716,1.73380631234689,1.73037519246356
2,2006,127.456066041145,128.535736649931,1.73428077196503,1.73016335880623
3,2006,126.907437381516,128.484917420447,1.71379070019037,1.70181209715942
4,2006,127.114062824055,128.787636771979,1.67755168914412,1.67342666791766
1,2007,131.495810771904,132.685652382621,1.68295752368732,1.67773510576097
2,2007,133.306379821453,134.27009187247,1.68017422053169,1.67628778259507
3,2007,133.337087280858,134.841422039119,1.67838296880136,1.66614991284437
4,2007,134.303506449676,135.700260549778,1.67306367755186,1.66221039557267
1,2008,138.763981216459,139.976239429085,1.6706589200383,1.66694441409292
2,2008,140.814714614213,141.751501428422,1.67437184540568,1.67008073421863
3,2008,144.681476210433,146.487073101652,1.76044270142242,1.75481566378926
4,2008,143.479950967314,144.988246992491,1.70651474136398,1.69796365871735
1,2009,147.266435234736,150.338207368824,1.68884265202207,1.70547128061513
2,2009,153.36184296171,156.528085625183,1.78909085807417,1.80810793673818
3,2009,164.552600055275,166.289487899204,1.99936685248726,1.98847020831515
4,2009,168.570223931656,170.271250080599,2.11868527311548,2.10782951606069
1,2010,171.340745806987,172.93422544925,2.09776072867636,2.09111660395212
2,2010,173.976246789556,175.360873127441,2.11227332507187,2.10648144572342
3,2010,174.048398625184,175.823062472535,2.09457764948736,2.08267748982458
4,2010,175.632764403396,177.323262570681,2.09599519446632,2.08576606050842
1,2011,178.96656438516,180.589373729243,2.07041232121192,2.0636172237818
2,2011,180.192955443852,181.548574192882,2.04858797379023,2.04352417689682
3,2011,181.935913237105,183.740391918091,2.07532432048575,2.06451974335867
4,2011,185.654988622144,187.905098248275,2.09100987937069,2.08384269020272
1,2012,188.181728659437,190.43571627479,2.0751486114336,2.07217119400556
2,2012,190.467189175789,192.672407128764,2.07963611192642,2.07844189970682
3,2012,192.246403940953,194.622657798669,2.09474080672611,2.08696009118463
4,2012,193.154090476139,195.40889592852,2.06413768384789,2.05786553361974
1,2013,195.445404329576,197.678203567334,2.04409022408783,2.04170149823475
2,2013,197.571055208049,199.78094455906,2.04275044290754,2.0429102075543
3,2013,200.347058960517,202.749718850219,2.08015402671083,2.07389411438748
4,2013,202.694224606077,204.916271317516,2.08809368680257,2.08135894650408
1,2014,204.050507976777,206.233234788912,2.04592040830662,2.04347117603083
2,2014,205.687595116525,207.789821873372,2.03591967905876,2.03377699378321
3,2014,206.928650098728,209.265397678208,2.03737568748175,2.0304767683804
4,2014,208.58592771227,210.808666180986,2.02751673677464,2.0217855008421
1,2015,213.009996962266,215.65959090278,2.04288269178137,2.04073520198151
2,2015,215.524443669918,217.770571743448,2.06090960612282,2.05885307646387
3,2015,216.70315681133,219.121464718026,2.05816163200186,2.05196876414728
4,2015,217.335140008614,219.634712210803,2.02662810119304,2.02158874533334
1,2016,219.232036226655,221.527698080668,2.0040800950081,2.00181302383736
2,2016,221.428985934402,223.65282009914,2.0066280055567,2.00470846451425
3,2016,221.989921988105,224.385765338319,1.99215827869592,1.98659722717772
4,2016,224.992528785836,227.273395115,2.01063958434021,2.00574989068675
1,2017,227.032967882264,229.310533523319,1.99169206921882,1.98950016483751
2,2017,229.041697800199,231.24924808283,1.9904834774841,1.98865845667351
3,2017,229.68371768487,232.064652136257,1.97878434315869,1.97335106782744
4,2017,231.503749678444,233.775216815721,1.97348897195212,1.9690176225184
1,2018,233.173047481501,235.437003387317,1.94939182120875,1.94736126826122
2,2018,234.675795700046,236.870389625294,1.93946030623554,1.93775893860779
3,2018,235.68212524639,238.036453480843,1.93549446956,1.93030002492934
4,2018,238.44044836645,240.687690099624,1.9477734053185,1.94337950189463
1,2019,240.61021621484,242.852643817456,1.93345222152772,1.93151461556286
2,2019,242.155616275847,244.328019213054,1.92504920482181,1.92342538968832
3,2019,244.071301361454,246.419276698896,1.93732308307654,1.93225798043397
4,2019,250.083505805772,252.336194987816,2.0069008808851,2.00237270379807
1,2020,256.724511631089,258.963881077742,2.07083996922585,2.06889332427496
2,2020,260.626300326776,264.957622746916,2.07500634898156,2.0672120202775
3,2020,280.139246265989,290.115745596398,2.44150764466301,2.55048725704879
4,2020,384.149054978339,388.359814745273,4.20715722173171,4.59742043574999
1,2021,459.07082796113,461.666057013474,10.5167812445192,10.507234779228
2,2021,469.260626084801,471.859955259621,11.1815306199545,11.1623659755876
3,2021,473.033366296634,476.650973710919,11.2488061670691,11.2239438539109
4,2021,475.70057568351,479.058975430851,11.2884071713842,11.2548121800244
1,2022,480.195385564744,482.816960781718,11.1290813966829,11.113957990196
2,2022,484.104262284758,486.674741093287,11.1375834646148,11.1178437868362
3,2022,487.161644204089,490.734482059915,11.2862583132548,11.2525346241222
