forecast_year,forecast_quarter,target_year,target_quarter,num_respones,forecast_origin,target_point,diffin
1999,1,1999,3,66,1999.25,1999.75,0.5
1999,1,2000,3,66,1999.25,2000.75,1.5
1999,1,2003,4,66,1999.25,2004,4.75
1999,2,1999,4,61,1999.5,2000,0.5
1999,2,2000,4,61,1999.5,2001,1.5
1999,3,2000,1,53,1999.75,2000.25,0.5
1999,3,2001,1,53,1999.75,2001.25,1.5
1999,4,2000,2,57,2000,2000.5,0.5
1999,4,2001,2,57,2000,2001.5,1.5
2000,1,2000,3,60,2000.25,2000.75,0.5
2000,1,2001,3,60,2000.25,2001.75,1.5
2000,1,2004,3,60,2000.25,2004.75,4.5
2000,2,2000,4,62,2000.5,2001,0.5
2000,2,2001,4,62,2000.5,2002,1.5
2000,3,2001,1,52,2000.75,2001.25,0.5
2000,3,2002,1,52,2000.75,2002.25,1.5
2000,4,2001,2,68,2001,2001.5,0.5
2000,4,2002,2,68,2001,2002.5,1.5
2001,1,2001,3,61,2001.25,2001.75,0.5
2001,1,2002,3,61,2001.25,2002.75,1.5
2001,1,2005,3,61,2001.25,2005.75,4.5
2001,2,2001,4,62,2001.5,2002,0.5
2001,2,2002,4,62,2001.5,2003,1.5
2001,3,2002,1,50,2001.75,2002.25,0.5
2001,3,2003,1,50,2001.75,2003.25,1.5
2001,4,2002,2,54,2002,2002.5,0.5
2001,4,2003,2,54,2002,2003.5,1.5
2002,1,2002,3,57,2002.25,2002.75,0.5
2002,1,2003,3,57,2002.25,2003.75,1.5
2002,2,2002,4,59,2002.5,2003,0.5
2002,2,2003,4,59,2002.5,2004,1.5
2002,3,2003,1,53,2002.75,2003.25,0.5
2002,3,2004,1,53,2002.75,2004.25,1.5
2002,4,2003,2,61,2003,2003.5,0.5
2002,4,2004,2,61,2003,2004.5,1.5
2003,1,2003,3,56,2003.25,2003.75,0.5
2003,1,2004,3,56,2003.25,2004.75,1.5
2003,2,2003,4,53,2003.5,2004,0.5
2003,2,2004,4,53,2003.5,2005,1.5
2003,3,2004,1,54,2003.75,2004.25,0.5
2003,3,2005,1,54,2003.75,2005.25,1.5
2003,4,2004,2,62,2004,2004.5,0.5
2003,4,2005,2,62,2004,2005.5,1.5
2004,1,2004,3,61,2004.25,2004.75,0.5
2004,1,2005,3,61,2004.25,2005.75,1.5
2004,2,2004,4,64,2004.5,2005,0.5
2004,2,2005,4,64,2004.5,2006,1.5
2004,3,2005,1,60,2004.75,2005.25,0.5
2004,3,2006,1,60,2004.75,2006.25,1.5
2004,4,2005,2,62,2005,2005.5,0.5
2004,4,2006,2,62,2005,2006.5,1.5
2005,1,2005,3,64,2005.25,2005.75,0.5
2005,1,2006,3,64,2005.25,2006.75,1.5
2005,2,2005,4,62,2005.5,2006,0.5
2005,2,2006,4,62,2005.5,2007,1.5
2005,3,2006,1,52,2005.75,2006.25,0.5
2005,3,2007,1,52,2005.75,2007.25,1.5
2005,4,2006,2,58,2006,2006.5,0.5
2005,4,2007,2,58,2006,2007.5,1.5
2006,1,2006,3,63,2006.25,2006.75,0.5
2006,1,2007,3,63,2006.25,2007.75,1.5
2006,2,2006,4,61,2006.5,2007,0.5
2006,2,2007,4,61,2006.5,2008,1.5
2006,3,2007,1,54,2006.75,2007.25,0.5
2006,3,2008,1,54,2006.75,2008.25,1.5
2006,4,2007,2,63,2007,2007.5,0.5
2006,4,2008,2,63,2007,2008.5,1.5
2007,1,2007,3,64,2007.25,2007.75,0.5
2007,1,2008,3,64,2007.25,2008.75,1.5
2007,2,2007,4,63,2007.5,2008,0.5
2007,2,2008,4,63,2007.5,2009,1.5
2007,3,2008,1,54,2007.75,2008.25,0.5
2007,3,2009,1,54,2007.75,2009.25,1.5
2007,4,2008,2,57,2008,2008.5,0.5
2007,4,2009,2,57,2008,2009.5,1.5
2008,1,2008,3,54,2008.25,2008.75,0.5
2008,1,2009,3,54,2008.25,2009.75,1.5
2008,2,2008,4,57,2008.5,2009,0.5
2008,2,2009,4,57,2008.5,2010,1.5
2008,3,2009,1,57,2008.75,2009.25,0.5
2008,3,2010,1,57,2008.75,2010.25,1.5
2008,4,2009,2,58,2009,2009.5,0.5
2008,4,2010,2,58,2009,2010.5,1.5
2009,1,2009,3,63,2009.25,2009.75,0.5
2009,1,2010,3,63,2009.25,2010.75,1.5
2009,2,2009,4,52,2009.5,2010,0.5
2009,2,2010,4,52,2009.5,2011,1.5
2009,3,2010,1,54,2009.75,2010.25,0.5
2009,3,2011,1,54,2009.75,2011.25,1.5
2009,4,2010,2,57,2010,2010.5,0.5
2009,4,2011,2,57,2010,2011.5,1.5
2010,1,2010,3,61,2010.25,2010.75,0.5
2010,1,2011,3,61,2010.25,2011.75,1.5
2010,2,2010,4,54,2010.5,2011,0.5
2010,2,2011,4,54,2010.5,2012,1.5
2010,3,2011,1,55,2010.75,2011.25,0.5
2010,3,2012,1,55,2010.75,2012.25,1.5
2010,4,2011,2,61,2011,2011.5,0.5
2010,4,2012,2,61,2011,2012.5,1.5
2011,1,2011,3,56,2011.25,2011.75,0.5
2011,1,2012,3,56,2011.25,2012.75,1.5
2011,2,2011,4,55,2011.5,2012,0.5
